call_number,strategy,n_hvg,n_pcs,n_neighbors,resolution,yield_score_target,balanced_score_gmean,weighted_mean_cas,simple_mean_cas,mean_mcs,mean_f1,mean_confidence,silhouette_score,n_individual_labels,n_consensus_labels
1,Exploit,3828,27,41,1.2743,76.2735,82.7843,74.2034,67.8893,93.2321,22.2649,,0.2598,49,14
2,Exploit,2231,19,28,0.8007,75.4291,81.8679,74.4542,64.8983,92.9673,21.0300,,0.3274,49,14
3,Exploit,851,69,12,1.4996,76.9917,83.5639,76.4793,69.2415,92.0793,20.9455,,0.1202,49,18
4,Exploit,4475,10,50,1.3115,73.1789,79.4256,69.0200,62.1249,92.8109,22.8693,,0.3616,49,13
5,Exploit,2986,11,11,1.1446,75.9424,82.4250,73.1630,68.3854,92.2528,21.3963,,0.3001,49,15
6,Exploit,2021,14,49,0.6190,75.9601,82.4442,74.1013,67.1542,92.8410,21.7980,,0.3470,49,13
7,Exploit,613,66,25,1.9698,76.5120,83.0432,76.7116,67.4059,91.9722,20.7777,,0.1196,49,15
8,Exploit,2326,87,37,1.0109,75.8340,82.3074,74.9187,65.7903,93.1110,22.1553,,0.1699,49,14
9,Exploit,260,95,33,0.8937,72.1306,78.2878,68.4905,60.3906,90.8187,23.6314,,0.0256,49,11
10,Exploit,273,31,20,1.4299,76.0760,82.5700,72.1598,69.5456,92.6236,22.2646,,0.0846,49,13
11,Exploit,897,69,11,1.4483,76.8908,83.4544,76.6094,68.4059,92.5593,21.5289,,0.1202,49,20
12,Exploit,735,70,14,1.1790,76.8900,83.4535,75.7083,68.9809,92.8760,22.0190,,0.1143,49,16
13,Exploit,1065,70,10,2.0000,77.3213,83.9216,78.4394,68.0365,92.9432,21.4701,,0.1337,49,21
14,Exploit,1232,71,21,2.0000,77.4413,84.0518,78.1421,69.8268,91.4701,21.7041,,0.1293,49,18
15,Exploit,1350,72,21,2.0000,78.4305,85.1255,78.3465,72.2210,92.8011,21.6589,,0.1156,49,18
16,Exploit,1731,74,20,2.0000,78.1356,84.8054,78.6995,70.6816,92.9854,21.7917,,0.1222,49,19
17,Exploit,2071,72,50,1.1388,76.2999,82.8130,73.9155,68.4405,92.9703,21.9604,,0.1801,49,13
18,Exploit,1512,74,10,1.8424,77.7428,84.3791,77.5012,70.8067,92.3753,21.9657,,0.1218,49,21
19,Exploit,2177,72,16,1.5770,77.1470,83.7325,76.3307,69.1242,93.1632,21.7117,,0.1286,49,18
20,Exploit,4317,79,28,2.0000,76.8109,83.3677,77.2503,67.7273,92.3261,20.7497,,0.1344,49,17
21,Exploit,4755,45,12,2.0000,78.4062,85.0991,79.2104,70.9191,93.3584,20.4417,,0.1748,49,21
22,Exploit,4755,47,11,2.0000,78.2274,84.9050,78.8946,70.6002,93.2993,20.5209,,0.1691,49,21
23,Exploit,4755,43,12,2.0000,77.9301,84.5824,79.1732,69.5386,92.9638,20.4575,,0.1892,49,21
24,Exploit,4356,49,46,2.0000,75.8782,82.3553,75.2996,66.1259,92.3850,21.6933,,0.1898,49,17
25,Exploit,4755,46,10,1.2245,76.9344,83.5017,75.9777,69.0207,92.7075,20.3270,,0.1817,49,19
26,Exploit,4258,36,10,2.0000,77.7094,84.3428,78.8017,69.4118,92.5170,21.5108,,0.1836,49,20
27,Exploit,2265,10,23,2.0000,76.4419,82.9672,74.7701,68.2893,92.7989,20.8827,,0.2447,49,14
28,Exploit,1334,76,27,2.0000,77.6992,84.3318,77.8449,70.0993,92.6873,21.5734,,0.1123,49,17
29,Exploit,4137,45,10,2.0000,78.3221,85.0079,79.3869,70.6345,93.1257,20.6874,,0.1710,49,21
30,Exploit,3978,46,10,2.0000,78.2567,84.9369,79.0525,70.9219,92.8298,20.7013,,0.1732,49,21
31,Exploit,200,46,10,1.8679,69.6384,75.5829,61.8579,58.5397,90.1252,23.1336,,0.0049,49,12
32,Exploit,200,10,10,1.3936,72.1119,78.2675,65.2485,63.5634,90.4787,23.8283,,0.0691,49,10
33,Exploit,4755,95,10,2.0000,77.8126,84.4549,78.2072,69.4798,93.6251,20.5404,,0.1134,49,20
34,Exploit,4755,100,50,2.0000,76.2916,82.8041,74.7236,67.3231,93.4508,22.3491,,0.1232,49,15
35,Exploit,4755,89,10,2.0000,78.1535,84.8249,78.2443,70.6964,93.5925,20.7403,,0.1127,49,20
36,Exploit,4755,90,10,0.8733,76.4564,82.9828,74.9745,67.8635,93.1970,20.3509,,0.1527,49,18
37,Exploit,4064,90,10,2.0000,77.1329,83.7172,77.4268,68.4456,92.6872,21.1502,,0.1133,49,21
38,Exploit,4367,45,10,2.0000,78.0799,84.7450,78.8388,70.3307,93.0185,20.5884,,0.1716,49,20
39,Exploit,3851,42,10,2.0000,78.1861,84.8603,79.0246,70.3766,93.2449,21.0549,,0.1743,49,21
40,Exploit,4755,88,50,2.0000,77.1192,83.7023,76.2843,69.0901,93.1315,21.9191,,0.1367,49,15
41,Exploit,3267,36,10,2.0000,77.8658,84.5126,78.6345,69.9682,92.7195,21.2435,,0.1785,49,21
42,Exploit,4755,50,10,2.0000,78.1333,84.8030,78.9967,70.1484,93.3288,20.6907,,0.1634,49,21
43,Exploit,4542,53,13,2.0000,77.5900,84.2133,78.6809,68.9538,92.7028,21.0172,,0.1660,49,21
44,Exploit,2169,29,50,2.0000,77.4876,84.1021,77.2039,69.9206,92.6791,22.5049,,0.2161,49,15
45,Exploit,4755,66,10,2.0000,77.7047,84.3377,78.5137,69.1536,93.1806,21.2612,,0.1448,49,21
46,Exploit,2887,29,10,2.0000,78.0567,84.7198,78.1514,71.4415,92.2680,21.0824,,0.1837,49,20
47,Exploit,2176,30,10,2.0000,78.0674,84.7314,77.4547,71.9520,92.4878,21.8157,,0.1672,49,18
48,Exploit,200,73,50,2.0000,69.4413,75.3690,63.6321,56.8435,89.2095,23.9051,,-0.0213,49,11
49,Exploit,1305,10,16,1.4788,76.0405,82.5315,73.2373,68.3964,92.6215,22.1200,,0.2845,49,13
50,Exploit,1185,89,13,1.6338,77.3661,83.9702,77.2503,69.0767,93.1683,22.5420,,0.1172,49,20
1,BO-EI,3828,27,41,1.2743,76.2735,82.7843,74.2034,67.8893,93.2321,22.2649,,0.2598,49,14
2,BO-EI,2231,19,28,0.8007,75.4291,81.8679,74.4542,64.8983,92.9673,21.0300,,0.3274,49,14
3,BO-EI,851,69,12,1.4996,76.9917,83.5639,76.4793,69.2415,92.0793,20.9455,,0.1202,49,18
4,BO-EI,4475,10,50,1.3115,73.1789,79.4256,69.0200,62.1249,92.8109,22.8693,,0.3616,49,13
5,BO-EI,2986,11,11,1.1446,75.9424,82.4250,73.1630,68.3854,92.2528,21.3963,,0.3001,49,15
6,BO-EI,2021,14,49,0.6190,75.9601,82.4442,74.1013,67.1542,92.8410,21.7980,,0.3470,49,13
7,BO-EI,613,66,25,1.9698,76.5120,83.0432,76.7116,67.4059,91.9722,20.7777,,0.1196,49,15
8,BO-EI,2326,87,37,1.0109,75.8340,82.3074,74.9187,65.7903,93.1110,22.1553,,0.1699,49,14
9,BO-EI,260,95,33,0.8937,72.1306,78.2878,68.4905,60.3906,90.8187,23.6314,,0.0256,49,11
10,BO-EI,273,31,20,1.4299,76.0760,82.5700,72.1598,69.5456,92.6236,22.2646,,0.0846,49,13
11,BO-EI,1500,69,15,1.0150,76.4889,83.0182,74.6400,68.5534,92.8303,21.1046,,0.1599,49,17
12,BO-EI,648,74,49,1.8709,75.8948,82.3734,74.1941,66.6432,93.1153,23.3220,,0.1050,49,13
13,BO-EI,1050,60,12,1.3255,77.4920,84.1069,76.6094,70.6169,92.4984,21.9163,,0.1411,49,19
14,BO-EI,1050,31,21,1.7828,77.5073,84.1235,77.5755,69.7101,92.6080,22.0076,,0.1815,49,17
15,BO-EI,3805,99,19,1.8195,77.7680,84.4065,78.1328,69.7028,93.2004,21.4260,,0.1313,49,18
16,BO-EI,2448,47,20,2.0000,77.7156,84.3496,78.6345,69.8038,92.2227,21.0045,,0.1687,49,19
17,BO-EI,3968,72,26,2.0000,77.1025,83.6841,77.3525,68.3378,92.7759,21.5769,,0.1482,49,17
18,BO-EI,1666,13,16,2.0000,76.6676,83.2121,76.5629,67.6912,92.5109,21.8270,,0.2407,49,16
19,BO-EI,3286,22,22,2.0000,76.8638,83.4251,77.3247,67.6103,92.6519,21.8994,,0.2415,49,17
20,BO-EI,2368,100,20,1.8271,77.0964,83.6775,76.8323,68.5970,93.0215,21.6307,,0.1227,49,18
21,BO-EI,4755,52,18,1.5140,77.2173,83.8088,76.6465,68.8635,93.4706,21.0342,,0.1814,49,18
22,BO-EI,200,10,10,0.2000,69.1194,75.0196,58.5880,58.5777,92.2902,22.0844,,0.0748,49,8
23,BO-EI,4242,100,10,1.7214,77.2133,83.8044,76.9902,68.4040,93.6587,21.3632,,0.1108,49,20
24,BO-EI,4755,100,10,0.2000,9.6910,10.5183,1.5049,0.8720,93.2558,22.3704,,0.2004,49,13
25,BO-EI,4755,100,10,1.2536,76.3223,82.8373,75.3739,66.6181,93.7754,19.6010,,0.1359,49,19
26,BO-EI,4755,100,10,2.0000,77.2647,83.8602,76.8137,68.9991,93.3126,20.3451,,0.1119,49,21
27,BO-EI,4755,42,10,1.8550,78.2434,84.9225,78.8388,70.7744,93.2120,21.2849,,0.1767,49,20
28,BO-EI,4755,50,10,1.1790,76.7382,83.2888,75.6712,68.4982,92.8397,21.7332,,0.1937,49,19
29,BO-EI,4755,39,10,1.8922,78.3737,85.0639,79.0060,71.1548,93.1354,21.1732,,0.1822,49,20
30,BO-EI,200,10,10,0.6852,70.9516,77.0082,63.4928,60.7419,91.1870,23.6536,,0.0716,49,10
31,BO-EI,200,37,50,0.9761,69.5783,75.5177,63.1770,56.9784,90.3491,24.1467,,0.0533,49,10
