call_number,strategy,n_hvg,n_pcs,n_neighbors,resolution,yield_score_target,balanced_score_gmean,weighted_mean_cas,simple_mean_cas,mean_mcs,mean_f1,mean_confidence,silhouette_score,n_individual_labels,n_consensus_labels
1,Exploit,5538,27,41,1.2743,47.9076,60.6739,41.3206,37.3757,87.7504,18.3892,,0.1599,43,7
2,Exploit,3188,19,28,0.8007,47.9634,60.7446,41.5335,36.2098,90.5320,18.9863,,0.2000,43,8
3,Exploit,1157,69,12,1.4996,48.7952,61.7980,43.1310,38.0017,88.9820,17.7095,,0.1036,43,8
4,Exploit,6490,10,50,1.3115,48.6084,61.5615,41.1608,39.7430,87.7990,18.8955,,0.2533,43,7
5,Exploit,4299,11,11,1.1446,49.8306,63.1094,43.3972,40.2385,90.8383,17.5800,,0.2259,43,9
6,Exploit,2880,14,49,0.6190,46.9728,59.4900,38.0724,36.0037,91.3724,20.3215,,0.2188,43,4
7,Exploit,807,66,25,1.9698,48.4490,61.3596,43.2907,37.6266,87.0240,16.1976,,0.1019,43,8
8,Exploit,3328,87,37,1.0109,46.9985,59.5226,39.0309,36.7158,87.5917,21.5906,,0.0531,43,5
9,Exploit,289,95,33,0.8937,48.1519,60.9833,42.5453,36.9247,88.0384,19.3660,,0.1059,43,7
10,Exploit,307,31,20,1.4299,48.1821,61.0216,42.4388,36.9568,88.4043,17.7531,,0.1687,43,8
11,Exploit,4293,10,10,1.1902,49.6589,62.8919,42.8647,41.0038,89.0126,16.4765,,0.2432,43,8
12,Exploit,3685,100,10,2.0000,49.1900,62.2980,42.2790,39.2302,90.8131,17.5078,,0.0412,43,9
13,Exploit,4516,10,10,0.6494,50.0890,63.4366,43.1310,41.7655,89.8979,19.1655,,0.2559,43,8
14,Exploit,4742,10,10,0.2000,49.1725,62.2759,40.0426,40.4063,92.9621,18.4088,,0.4209,43,5
15,Exploit,4493,12,10,0.7802,50.0670,63.4087,43.6635,40.6324,91.1176,17.2320,,0.2753,43,9
16,Exploit,4418,91,10,0.7720,47.7875,60.5218,41.7998,35.4953,90.4271,17.9509,,0.0803,43,9
17,Exploit,4555,10,10,0.7823,50.1295,63.4878,43.3972,41.0539,91.1892,18.3140,,0.2709,43,9
18,Exploit,4745,10,11,0.7950,49.7012,62.9455,42.3855,41.0908,90.1348,19.1655,,0.2530,43,8
19,Exploit,4422,10,10,0.7613,49.5072,62.6997,42.5985,40.1307,90.4040,18.6465,,0.2425,43,8
