,ctpt_consensus_prediction,Cluster_ID,Marker_Match_1,Marker_Match_1_F1 (%),Marker_Match_2,Marker_Match_2_F1 (%),Marker_Match_3,Marker_Match_3_F1 (%)
0,gdT,gdT,Effector memory t cell,6.0606060606060606,Il-17ralpha t cell,3.9215686274509802,Naive regulatory t (treg) cell,3.7735849056603774
1,gdT,gdT,Effector memory t cell,6.0606060606060606,Il-17ralpha t cell,3.9215686274509802,Naive regulatory t (treg) cell,3.7735849056603774
2,gdT,gdT,Effector memory t cell,6.0606060606060606,Il-17ralpha t cell,3.9215686274509802,Naive regulatory t (treg) cell,3.7735849056603774
3,gdT,gdT,Effector memory t cell,6.0606060606060606,Il-17ralpha t cell,3.9215686274509802,Naive regulatory t (treg) cell,3.7735849056603774
4,gdT,gdT,Effector memory t cell,6.0606060606060606,Il-17ralpha t cell,3.9215686274509802,Naive regulatory t (treg) cell,3.7735849056603774
5,gdT,gdT,Effector memory t cell,6.0606060606060606,Il-17ralpha t cell,3.9215686274509802,Naive regulatory t (treg) cell,3.7735849056603774
6,gdT,gdT,Effector memory t cell,6.0606060606060606,Il-17ralpha t cell,3.9215686274509802,Naive regulatory t (treg) cell,3.7735849056603774
7,gdT,gdT,Effector memory t cell,6.0606060606060606,Il-17ralpha t cell,3.9215686274509802,Naive regulatory t (treg) cell,3.7735849056603774
8,NKT,NKT,Cytotoxic cd8+ t cell,26.666666666666668,Cytotoxic t cell,22.950819672131146,Memory cd8+ t cell,21.53846153846154
9,Treg,Treg,Regulatory t (treg) cell,22.857142857142858,Regulatory t(treg) cell,18.18181818181818,Natural regulatory t cell,13.114754098360654
10,gdT,gdT,Effector memory t cell,6.0606060606060606,Il-17ralpha t cell,3.9215686274509802,Naive regulatory t (treg) cell,3.7735849056603774
11,gdT,gdT,Effector memory t cell,6.0606060606060606,Il-17ralpha t cell,3.9215686274509802,Naive regulatory t (treg) cell,3.7735849056603774
12,gdT,gdT,Effector memory t cell,6.0606060606060606,Il-17ralpha t cell,3.9215686274509802,Naive regulatory t (treg) cell,3.7735849056603774
13,DC3,DC3,Myeloid cell,24.719101123595507,Monocyte,21.794871794871792,Cd1c+_b dendritic cell,20.754716981132074
14,gdT,gdT,Effector memory t cell,6.0606060606060606,Il-17ralpha t cell,3.9215686274509802,Naive regulatory t (treg) cell,3.7735849056603774
15,CD8.Naive,CD8.Naive,Gamma delta(γδ) t cell,11.594202898550725,Naive cd8+ t cell,11.042944785276072,Cd8+ t cell,10.638297872340427
