Cluster_ID,Assigned_Cell_Type,Precision (%),Recall (%),F1_Score (%),Jaccard (%),True_Positive_Count,Predicted_Marker_Count,Reference_Marker_Count,Assigned_Cell_Type_2,Precision_2 (%),Recall_2 (%),F1_Score_2 (%),Jaccard_2 (%),True_Positive_Count_2,Predicted_Marker_Count_2,Reference_Marker_Count_2,Assigned_Cell_Type_3,Precision_3 (%),Recall_3 (%),F1_Score_3 (%),Jaccard_3 (%),True_Positive_Count_3,Predicted_Marker_Count_3,Reference_Marker_Count_3
DC3,Myeloid cell,22.0,28.205128205128204,24.719101123595507,14.102564102564102,11,50,39,Monocyte,30.0,14.150943396226415,19.23076923076923,10.638297872340425,15,50,106,Cd1c+_b dendritic cell,18.0,16.071428571428573,16.9811320754717,9.278350515463918,9,50,56
CD8.EM,Cd8+ t cell,22.0,25.0,23.404255319148938,13.253012048192772,11,50,44,Cytotoxic t cell,12.0,54.54545454545454,19.672131147540984,10.909090909090908,6,50,11,Cytotoxic cd8+ t cell,10.0,50.0,16.666666666666668,9.090909090909092,5,50,10
Treg,Regulatory t (treg) cell,24.0,21.818181818181817,22.857142857142858,12.903225806451612,12,50,55,Regulatory t(treg) cell,14.000000000000002,18.421052631578945,15.909090909090908,8.641975308641975,7,50,38,Natural regulatory t cell,8.0,36.36363636363637,13.114754098360654,7.017543859649122,4,50,11
CD8.Prolif,B cell,30.0,17.045454545454543,21.73913043478261,12.195121951219512,15,50,88,Mature b cell,10.0,71.42857142857143,17.54385964912281,9.615384615384617,5,50,7,Immature b cell,10.0,41.66666666666667,16.129032258064516,8.771929824561402,5,50,12
NKT,Cd8+ t cell,20.0,22.727272727272727,21.276595744680854,11.904761904761903,10,50,44,Cytotoxic cd8+ t cell,12.0,60.0,20.0,11.11111111111111,6,50,10,Cytotoxic t cell,12.0,54.54545454545454,19.672131147540984,10.909090909090908,6,50,11
Platelets,Myeloid cell,16.0,20.51282051282051,17.97752808988764,9.876543209876543,8,50,39,Monocyte,26.0,12.264150943396226,16.666666666666664,9.090909090909092,13,50,106,Natural killer cell,20.0,12.195121951219512,15.151515151515152,8.19672131147541,10,50,82
CD8.Naive,Naive cd8+ t cell,20.0,8.849557522123893,12.269938650306749,6.535947712418301,10,50,113,Naive cd4+ t cell,10.0,11.904761904761903,10.869565217391305,5.747126436781609,5,50,42,Memory cd8+ t cell,6.0,20.0,9.230769230769232,4.838709677419355,3,50,15
CD4.Prolif,Regulatory t(treg) cell,10.0,13.157894736842104,11.363636363636363,6.024096385542169,5,50,38,Cd4+ t cell,10.0,7.462686567164178,8.547008547008547,4.464285714285714,5,50,67,Leukocyte,4.0,5.88235294117647,4.761904761904763,2.4390243902439024,2,50,34
HSC_CD38pos,Hematopoietic stem cell,10.0,11.363636363636363,10.638297872340427,5.617977528089887,5,50,44,Progenitor cell,6.0,21.428571428571427,9.375,4.918032786885246,3,50,14,Plasmacytoid dendritic cell(pdc),6.0,11.11111111111111,7.792207792207792,4.054054054054054,3,50,27
NK_prolif,Effector cd8+ t cell,6.0,30.0,10.0,5.263157894736842,3,50,10,Cytotoxic t cell,6.0,27.27272727272727,9.836065573770492,5.172413793103448,3,50,11,Effector cd4+ t cell,6.0,25.0,9.67741935483871,5.084745762711865,3,50,12
gdT,Naive cd8+ t cell,2.0,0.8849557522123894,1.2269938650306749,0.6172839506172839,1,50,113,Multilymphoid progenitor cell,2.0,0.16778523489932887,0.30959752321981415,0.15503875968992248,1,50,596,None,0.0,0.0,0.0,0.0,0,0,0
