Cell_Type,MCS,Top_50_Markers
CD8.Prolif,0.7951587301587302,"ARHGAP24, MEF2C, HLA-DRA, MARCHF1, WDFY4, CD74, LYN, SYK, HLA-DRB1, BANK1, RALGPS2, CDK14, MS4A1, HVCN1, TRIO, BLK, HDAC9, PAX5, FCRL1, EBF1, HLA-DQA1, IGHM, GNG7, AFF3, LINC00926, NIBAN3, PLCG2, HLA-DPA1, BCL11A, UBE2E2, CD79A, HLA-DPB1, SWAP70, OSBPL10, LY86, HLA-DQB1, STX7, GRK3, CD22, HLA-DMB, HLA-DRB6, COL19A1, ADAM28, RUBCNL, PLEKHG1, TPD52, CD79B, IGHD, FGD2, IRF8"
gdT,0.9994949494949494,"TPT1, RPL37, RPL11, RPL36, RPLP1, RPL9, RPS6, RPS16, RPS12, RPL39, RPS28, RPL18, RPS18, RPL32, RPL30, RPL13, RPS8, RPS3A, EEF1A1, RPL34, RPL19, RPL35A, RPL23A, RPS3, RPS27, RPS29, RPS25, RPL12, RPL13A, RPS14, RPS23, RPL3, RPS27A, RPS21, RPLP2, RPS10, RPS2, RPL18A, RPL10, RPS13, RPL29, RPL37A, RPS19, RPL41, RPS4X, EEF1G, RPL5, RPL22, RPL10A, RPSA"
CD8.Naive,0.9263354037267081,"CD8B, CD8A, CCL5, KLRK1, NELL2, IL7R, PITPNC1, ARHGAP15, SERINC5, PDE3B, CD96, THEMIS, DOCK10, TCF7, RPS12, APBA2, CAMK4, PARP8, LINC01934, MGAT4A, LINC02446, RASGRF2, GRAP2, RPL32, RPLP2, RPS16, RPL36A, CBLB, LYAR, RPS6, RPS19, AKT3, RPLP0, RPS18, ENSG00000228655, TPT1, PCED1B, RPS14, SCML4, ITGA4, CDC42SE2, RPS4X, RPS3A, RPLP1, RPL13, RPS3, EEF1B2, RPL19, RPS2, TC2N"
DC3,0.9511428571428572,"PSAP, CST3, AIF1, LST1, CD68, CTSS, TYROBP, IFI30, MCTP1, SLC8A1, SERPINA1, FCER1G, CYBB, FCN1, TYMP, FGL2, LYZ, SPI1, HCK, FTL, SLC11A1, NAMPT, S100A9, CPVL, KLF4, MNDA, TBXAS1, CLEC7A, PLXDC2, LRMDA, IRAK3, DUSP6, GRN, DMXL2, LGALS1, S100A8, EVI5, RAB31, MPEG1, CSTA, VCAN, CPPED1, FTH1, RBM47, MIR23AHG, GAB2, CD36, CD14, MS4A6A, CYRIA"
NKT,0.8853125,"CCL5, NKG7, CST7, GZMA, KLRG1, HCST, CTSW, GZMK, CBLB, HLA-B, HLA-C, HLA-A, SAMD3, KLRK1, CD8A, A2M, PRKCH, GZMM, B2M, SYNE1, CD3D, PITPNC1, PPP2R5C, FYN, CMC1, PZP, PIP4K2A, TMSB4X, TRGC2, LCK, ITGAL, MALAT1, RABGAP1L, LYAR, IFITM1, IL32, MYL12A, KLRD1, CD8B, ATXN1, PFN1, CDC42SE2, TRAC, RUNX3, PPP3CC, NCALD, KLF12, STAT4, NLRC5, CD3E"
Treg,0.8231147540983605,"IKZF2, LDLRAD4, STAM, IL32, ITGB1, SKAP1, IL2RA, CASK, PLCL1, TNIK, ARID5B, CCM2, TOX, USP15, LINC02694, TMSB10, HLA-A, EPB41, TLE5, NABP1, CHST11, SMCHD1, NIBAN1, TTC39C, ENSG00000290067, ENSG00000227240, ENSG00000289707, PHACTR2, CD247, CD52, LEF1, ENSG00000259345, SGMS1, ISG20, GLCCI1, TRAC, HERC2P3, RTKN2, GSTK1, EVL, IQGAP2, LINC00426, ENSG00000273118, FOXP3, RORA, EML4, CTLA4, TBC1D4, ARHGDIB, CYTOR"
CD8.EM,0.9096296296296296,"GZMK, CST7, NKG7, GZMA, CD8A, CCL5, GZMM, CD8B, SAMD3, THEMIS, KLRK1, RABGAP1L, CTSW, PRKCH, APOBEC3G, CMC1, HLA-B, PPP2R5C, HLA-A, HCST, SYNE1, CD81, PITPNC1, CRTAM, ATXN1, KLF12, HLA-C, KLRG1, ACAP1, FYN, STK17A, PYHIN1, LYAR, STAT4, CDC42SE2, A2M, PPP2R2B, ITGAL, MYL12A, B2M, PARP8, CD99, SKAP1, TMSB4X, AOAH, SH2D1A, NFATC2, CD3D, FCRL6, PIP4K2A"
Platelets,0.9566666666666667,"FCER1G, GNLY, TYROBP, CTBP2, KLRF1, PTPN12, FCN1, ITGAM, FGR, TRDC, STX11, SPI1, CEBPD, PRAM1, LST1, GRN, RBM47, IRAK3, KLRD1, CX3CR1, GAS7, MCTP1, LYN, LRP1, TBXAS1, MCTP2, CTSS, ZBTB16, MNDA, KLF4, S100A9, PLXDC2, IFI30, ENSG00000257764, VCAN, AOAH, CSTA, FGL2, FNDC3B, CST3, CFD, MPEG1, TGFBR3, DMXL2, LYZ, CPVL, LRMDA, EFHD2, CTSD, NCAM1"
CD4.Prolif,0.8993333333333333,"CORO1A, ACTG1, TLE5, PFN1, S1PR4, ARHGDIB, ACTB, CFL1, PPP1CA, GBP2, RAC2, CCDC167, GMFG, PRDX1, TOX, CLIC1, COX6C, YWHAB, CALM1, HNRNPLL, FAM107B, TMEM160, JPT1, CRIP1, ITM2A, LIME1, MYL6, RPS26, PSMB9, SUB1, LDHA, TMSB10, CD99, NDUFA13, SRP14, RBX1, CAPZB, ATP5PF, DBI, CD2, SIT1, CDC25B, PTTG1, TAP1, IL32, HNRNPF, TXNDC17, CD28, ARPC2, CARHSP1"
HSC_CD38pos,0.9533333333333333,"PRSS57, NKAIN2, MSRB3, MED12L, RNF220, ATP8B4, CDK6, ENSG00000289364, ZNF385D, HTR1F, ZNF521, MEIS1, CASC15, ITGA9, DACH1, SOX4, GIHCG, MAP7, ZNF804A, ANKRD28, CRACD, EMID1, CD34, CYTL1, LAPTM4B, COL24A1, PBX1, ST8SIA6, ERG, ABO, LYL1, PRKG1, ANGPT1, MSI2, GUCY1A1, IGFBP7, DEPTOR, MYB, PPM1H, NRIP1, MACROH2A1, SERPINB1, ETV6, SNHG29, EBPL, PDZD2, IGF2BP2, GATA2, TFPI, CDK6-AS1"
