Cluster_ID (Leiden),Consensus_Cell_Type,Total_Cells_in_Group,Matching_Individual_Predictions,Cluster_Annotation_Score_CAS (%)
13,CD4.Tfh,1,1,100.0
14,gdT,1,1,100.0
12,B_malignant,2,1,50.0
8,DC3,58,26,44.827586206896555
4,CD8.Prolif,78,30,38.46153846153846
9,HSC_CD38pos,36,12,33.333333333333336
2,NKT,98,32,32.6530612244898
5,CD8.Prolif,67,20,29.850746268656717
3,CD8.Naive,95,27,28.42105263157895
0,Treg,153,40,26.143790849673202
1,DC3,106,27,25.471698113207548
11,CD4.CM,4,1,25.0
6,DC3,65,13,20.0
10,CD4.EM,5,1,20.0
7,CD8.Prolif,62,12,19.35483870967742
