Consensus_Cell_Type,initial_Total_Cells,initial_Matching_Predictions,initial_CAS_Score_(%),refinement_depth_1_Total_Cells,refinement_depth_1_Matching_Predictions,refinement_depth_1_CAS_Score_(%),refinement_depth_2_Total_Cells,refinement_depth_2_Matching_Predictions,refinement_depth_2_CAS_Score_(%),refinement_depth_3_Total_Cells,refinement_depth_3_Matching_Predictions,refinement_depth_3_CAS_Score_(%)
B_immature,156,124,79.49,-,-,-,-,-,-,-,-,-
B_malignant,-,-,-,-,-,-,-,-,-,2,1,50.00
B_naive,1098,980,89.25,-,-,-,-,-,-,-,-,-
B_switched_memory,204,186,91.18,-,-,-,-,-,-,-,-,-
CD14_mono,2926,2742,93.71,-,-,-,-,-,-,-,-,-
CD16_mono,297,283,95.29,-,-,-,-,-,-,-,-,-
CD4.CM,-,-,-,-,-,-,-,-,-,4,1,25.00
CD4.EM,-,-,-,-,-,-,-,-,-,5,1,20.00
CD4.Naive,2085,1624,77.89,-,-,-,-,-,-,-,-,-
CD4.Prolif,-,-,-,23,9,39.13,30,9,30.00,-,-,-
CD4.Tfh,-,-,-,-,-,-,-,-,-,1,1,100.00
CD8.EM,-,-,-,-,-,-,54,23,42.59,-,-,-
CD8.Naive,366,344,93.99,151,60,39.74,161,84,52.17,95,27,28.42
CD8.Prolif,-,-,-,267,80,29.96,252,86,34.13,207,62,29.95
DC1,15,15,100.00,-,-,-,-,-,-,-,-,-
DC3,134,76,56.72,186,71,38.17,140,63,45.00,229,66,28.82
HSC_CD38pos,-,-,-,26,10,38.46,24,10,41.67,36,12,33.33
MAIT,608,441,72.53,-,-,-,-,-,-,-,-,-
NKT,-,-,-,239,116,48.54,128,56,43.75,98,32,32.65
NK_16hi,539,461,85.53,-,-,-,-,-,-,-,-,-
NK_56hi,66,43,65.15,-,-,-,-,-,-,-,-,-
NK_prolif,-,-,-,-,-,-,12,8,66.67,-,-,-
Plasma_cell_IgA,19,13,68.42,-,-,-,-,-,-,-,-,-
Platelets,149,144,96.64,-,-,-,36,9,25.00,-,-,-
Treg,-,-,-,108,27,25.00,122,34,27.87,153,40,26.14
gdT,142,128,90.14,878,469,53.42,198,91,45.96,1,1,100.00
pDC,83,83,100.00,-,-,-,-,-,-,-,-,-
