Cluster_ID (Leiden),Consensus_Cell_Type,Total_Cells_in_Group,Matching_Individual_Predictions,Cluster_Annotation_Score_CAS (%),source_level
33,DC1,15,15,100.0,initial_high_confidence
27,pDC,83,83,100.0,initial_high_confidence
9,CD14_mono,442,429,97.05882352941175,initial_high_confidence
25,CD14_mono,127,123,96.8503937007874,initial_high_confidence
22,Platelets,149,144,96.64429530201342,initial_high_confidence
2,B_naive,778,744,95.62982005141389,initial_high_confidence
14,CD16_mono,297,283,95.28619528619528,initial_high_confidence
5,CD14_mono,598,563,94.14715719063544,initial_high_confidence
0,CD14_mono,971,913,94.02677651905252,initial_high_confidence
11,CD8.Naive,366,344,93.98907103825135,initial_high_confidence
6,CD14_mono,577,541,93.76083188908146,initial_high_confidence
18,B_switched_memory,204,186,91.17647058823528,initial_high_confidence
23,gdT,142,128,90.14084507042251,initial_high_confidence
1,CD4.Naive,965,852,88.29015544041451,initial_high_confidence
7,NK_16hi,539,461,85.52875695732838,initial_high_confidence
17,CD14_mono,211,173,81.99052132701422,initial_high_confidence
21,B_immature,156,124,79.48717948717949,initial_high_confidence
12,B_naive,320,236,73.75,initial_high_confidence
3,CD4.Naive,747,549,73.49397590361446,initial_high_confidence
4,MAIT,608,441,72.53289473684211,initial_high_confidence
32,Plasma_cell_IgA,19,13,68.42105263157895,initial_high_confidence
29,NK_56hi,66,43,65.15151515151516,initial_high_confidence
10,CD4.Naive,373,223,59.78552278820376,initial_high_confidence
24,DC3,134,76,56.71641791044776,initial_high_confidence
16,gdT,59,45,76.27118644067797,refinement_depth_1
12,gdT,76,53,69.73684210526316,refinement_depth_1
0,gdT,189,110,58.2010582010582,refinement_depth_1
3,gdT,135,78,57.77777777777778,refinement_depth_1
15,gdT,64,34,53.125,refinement_depth_1
8,gdT,89,46,51.68539325842696,refinement_depth_1
5,NKT,109,56,51.37614678899082,refinement_depth_1
7,gdT,99,49,49.494949494949495,refinement_depth_1
4,NKT,130,60,46.15384615384615,refinement_depth_1
13,CD8.Prolif,72,29,40.27777777777778,refinement_depth_1
2,CD8.Naive,151,60,39.735099337748345,refinement_depth_1
17,CD8.Prolif,38,15,39.47368421052632,refinement_depth_1
19,CD4.Prolif,23,9,39.130434782608695,refinement_depth_1
18,HSC_CD38pos,26,10,38.46153846153846,refinement_depth_1
1,DC3,186,71,38.17204301075269,refinement_depth_1
10,gdT,86,29,33.72093023255814,refinement_depth_1
11,gdT,81,25,30.8641975308642,refinement_depth_1
14,CD8.Prolif,70,20,28.571428571428573,refinement_depth_1
6,Treg,108,27,25.0,refinement_depth_1
9,CD8.Prolif,87,16,18.39080459770115,refinement_depth_1
21,NK_prolif,12,8,66.66666666666667,refinement_depth_2
2,CD8.Naive,87,52,59.770114942528735,refinement_depth_2
7,NKT,59,33,55.932203389830505,refinement_depth_2
16,CD8.Prolif,26,14,53.84615384615385,refinement_depth_2
0,gdT,142,73,51.40845070422535,refinement_depth_2
1,DC3,123,58,47.15447154471545,refinement_depth_2
17,CD8.Naive,25,11,44.0,refinement_depth_2
11,CD8.Naive,49,21,42.85714285714285,refinement_depth_2
9,CD8.EM,54,23,42.5925925925926,refinement_depth_2
18,HSC_CD38pos,24,10,41.66666666666666,refinement_depth_2
3,CD8.Prolif,72,28,38.888888888888886,refinement_depth_2
14,NKT,32,11,34.375,refinement_depth_2
12,NKT,37,12,32.432432432432435,refinement_depth_2
8,gdT,56,18,32.142857142857146,refinement_depth_2
15,CD4.Prolif,30,9,30.0,refinement_depth_2
5,CD8.Prolif,70,21,30.0,refinement_depth_2
19,DC3,17,5,29.41176470588235,refinement_depth_2
6,Treg,68,20,29.41176470588235,refinement_depth_2
4,CD8.Prolif,71,20,28.169014084507044,refinement_depth_2
10,Treg,54,14,25.925925925925927,refinement_depth_2
13,Platelets,36,9,25.0,refinement_depth_2
20,CD8.Prolif,13,3,23.07692307692308,refinement_depth_2
13,CD4.Tfh,1,1,100.0,refinement_depth_3
14,gdT,1,1,100.0,refinement_depth_3
12,B_malignant,2,1,50.0,refinement_depth_3
8,DC3,58,26,44.82758620689656,refinement_depth_3
4,CD8.Prolif,78,30,38.46153846153846,refinement_depth_3
9,HSC_CD38pos,36,12,33.333333333333336,refinement_depth_3
2,NKT,98,32,32.6530612244898,refinement_depth_3
5,CD8.Prolif,67,20,29.85074626865672,refinement_depth_3
3,CD8.Naive,95,27,28.42105263157895,refinement_depth_3
0,Treg,153,40,26.1437908496732,refinement_depth_3
1,DC3,106,27,25.471698113207548,refinement_depth_3
11,CD4.CM,4,1,25.0,refinement_depth_3
6,DC3,65,13,20.0,refinement_depth_3
10,CD4.EM,5,1,20.0,refinement_depth_3
7,CD8.Prolif,62,12,19.35483870967742,refinement_depth_3
