Consensus_Cell_Type,Total_Cells_in_Group,Matching_Individual_Predictions,Cluster_Annotation_Score_CAS (%)
DC1,15,15,100.0
pDC,83,83,100.0
Platelets,149,144,96.64429530201342
CD16_mono,297,283,95.28619528619528
CD14_mono,2926,2742,93.71155160628845
B_switched_memory,204,186,91.17647058823529
gdT,142,128,90.14084507042253
B_naive,1098,980,89.25318761384335
NK_16hi,539,461,85.52875695732838
B_immature,156,124,79.48717948717949
CD8.Naive,551,436,79.12885662431943
MAIT,608,441,72.53289473684211
Plasma_cell_IgA,19,13,68.42105263157895
CD4.Naive,2979,2031,68.17724068479356
NK_56hi,66,43,65.15151515151516
DC3,407,204,50.122850122850124
HSC_CD38pos,26,11,42.30769230769231
NK_prolif,22,9,40.90909090909091
CD8.EM,298,119,39.93288590604027
CD83_CD14_mono,69,17,24.63768115942029
B_malignant,111,15,13.513513513513514
