Cluster_ID (Leiden),Consensus_Cell_Type,Total_Cells_in_Group,Matching_Individual_Predictions,Cluster_Annotation_Score_CAS (%)
33,DC1,15,15,100.0
27,pDC,83,83,100.0
9,CD14_mono,442,429,97.05882352941177
25,CD14_mono,127,123,96.85039370078741
22,Platelets,149,144,96.64429530201342
2,B_naive,778,744,95.62982005141389
14,CD16_mono,297,283,95.28619528619528
5,CD14_mono,598,563,94.14715719063545
0,CD14_mono,971,913,94.02677651905252
11,CD8.Naive,366,344,93.98907103825137
6,CD14_mono,577,541,93.76083188908146
18,B_switched_memory,204,186,91.17647058823529
23,gdT,142,128,90.14084507042253
1,CD4.Naive,965,852,88.29015544041451
7,NK_16hi,539,461,85.52875695732838
17,CD14_mono,211,173,81.99052132701422
21,B_immature,156,124,79.48717948717949
12,B_naive,320,236,73.75
3,CD4.Naive,747,549,73.49397590361446
4,MAIT,608,441,72.53289473684211
32,Plasma_cell_IgA,19,13,68.42105263157895
29,NK_56hi,66,43,65.15151515151516
10,CD4.Naive,373,223,59.78552278820376
24,DC3,134,76,56.71641791044776
20,CD8.Naive,185,92,49.729729729729726
19,CD4.Naive,201,98,48.756218905472636
16,CD4.Naive,219,105,47.945205479452056
15,DC3,273,128,46.88644688644688
8,CD4.Naive,474,204,43.037974683544306
30,HSC_CD38pos,26,11,42.30769230769231
31,NK_prolif,22,9,40.90909090909091
13,CD8.EM,298,119,39.93288590604027
28,CD83_CD14_mono,69,17,24.63768115942029
26,B_malignant,111,15,13.513513513513514
