Cluster_ID,Assigned_Cell_Type,Precision (%),Recall (%),F1_Score (%),Jaccard (%),True_Positive_Count,Predicted_Marker_Count,Reference_Marker_Count,Assigned_Cell_Type_2,Precision_2 (%),Recall_2 (%),F1_Score_2 (%),Jaccard_2 (%),True_Positive_Count_2,Predicted_Marker_Count_2,Reference_Marker_Count_2,Assigned_Cell_Type_3,Precision_3 (%),Recall_3 (%),F1_Score_3 (%),Jaccard_3 (%),True_Positive_Count_3,Predicted_Marker_Count_3,Reference_Marker_Count_3
Platelets,Megakaryocyte,24.0,66.66666666666666,35.29411764705882,21.428571428571427,12,50,18,Platelets,50.0,19.230769230769234,27.77777777777778,16.129032258064516,25,50,130,Platelet,14.000000000000002,18.91891891891892,16.091954022988507,8.75,7,50,37
pDC,Plasmacytoid dendritic cell(pdc),24.0,44.44444444444444,31.16883116883117,18.461538461538463,12,50,27,Dendritic cell,18.0,23.684210526315788,20.454545454545453,11.39240506329114,9,50,38,Plasmacytoid dendritic cell,74.0,10.511363636363637,18.40796019900498,10.136986301369863,37,50,352
DC1,Cd141+clec9a+ dendritic cell,46.0,21.69811320754717,29.48717948717949,17.293233082706767,23,50,106,Classical monocyte,16.0,18.181818181818183,17.02127659574468,9.30232558139535,8,50,44,Dendritic cell,12.0,15.789473684210526,13.636363636363635,7.317073170731707,6,50,38
B_naive,B cell,36.0,20.454545454545457,26.08695652173913,15.0,18,50,88,Mature b cell,10.0,71.42857142857143,17.54385964912281,9.615384615384617,5,50,7,Immature b cell,10.0,41.66666666666667,16.129032258064516,8.771929824561402,5,50,12
B_immature,B cell,36.0,20.454545454545457,26.08695652173913,15.0,18,50,88,Naive b cell,16.0,33.33333333333333,21.62162162162162,12.121212121212121,8,50,24,Mature b cell,8.0,57.14285714285714,14.035087719298248,7.547169811320755,4,50,7
gdT,Gamma delta(γδ) t cell,18.0,47.368421052631575,26.08695652173913,15.0,9,50,19,Natural killer cell,30.0,18.29268292682927,22.72727272727273,12.82051282051282,15,50,82,Memory cd8+ t cell,14.000000000000002,46.666666666666664,21.53846153846154,12.068965517241379,7,50,15
NK_16hi,Natural killer cell,34.0,20.73170731707317,25.757575757575758,14.782608695652174,17,50,82,Effector cd8+ memory t (tem) cell,28.000000000000004,16.666666666666664,20.895522388059703,11.666666666666666,14,50,84,Cytotoxic t cell,12.0,54.54545454545454,19.672131147540984,10.909090909090908,6,50,11
B_malignant,B cell,34.0,19.318181818181817,24.637681159420293,14.049586776859504,17,50,88,Naive b cell,10.0,20.833333333333336,13.513513513513514,7.246376811594203,5,50,24,Mature b cell,6.0,42.857142857142854,10.526315789473683,5.555555555555555,3,50,7
CD8.EM,Cytotoxic cd8+ t cell,14.000000000000002,70.0,23.333333333333336,13.20754716981132,7,50,10,Gamma delta(γδ) t cell,16.0,42.10526315789473,23.18840579710145,13.114754098360656,8,50,19,Cytotoxic t cell,14.000000000000002,63.63636363636363,22.950819672131146,12.962962962962962,7,50,11
B_switched_memory,B cell,32.0,18.181818181818183,23.18840579710145,13.114754098360656,16,50,88,Immature b cell,10.0,41.66666666666667,16.129032258064516,8.771929824561402,5,50,12,Classical monocyte,14.000000000000002,15.909090909090908,14.893617021276597,8.045977011494253,7,50,44
CD14_mono,Monocyte,34.0,16.037735849056602,21.794871794871792,12.23021582733813,17,50,106,Cd1c+_b dendritic cell,22.0,19.642857142857142,20.754716981132074,11.578947368421053,11,50,56,Myeloid cell,16.0,20.51282051282051,17.97752808988764,9.876543209876543,8,50,39
CD83_CD14_mono,B cell,30.0,17.045454545454543,21.73913043478261,12.195121951219512,15,50,88,Naive b cell,12.0,25.0,16.216216216216218,8.823529411764707,6,50,24,Classical monocyte,10.0,11.363636363636363,10.638297872340427,5.617977528089887,5,50,44
NK_56hi,Natural killer cell,28.000000000000004,17.073170731707318,21.21212121212121,11.864406779661017,14,50,82,Gamma delta(γδ) t cell,10.0,26.31578947368421,14.492753623188403,7.8125,5,50,19,Monocyte,22.0,10.377358490566039,14.102564102564102,7.586206896551724,11,50,106
CD16_mono,Cd1c-cd141- dendritic cell,70.0,10.703363914373089,18.56763925729443,10.23391812865497,35,50,327,Cd16+ monocyte,12.0,40.0,18.461538461538463,10.16949152542373,6,50,15,Myeloid cell,10.0,12.82051282051282,11.235955056179774,5.952380952380952,5,50,39
MAIT,Memory cd8+ t cell,12.0,40.0,18.461538461538463,10.16949152542373,6,50,15,Gamma delta(γδ) t cell,12.0,31.57894736842105,17.391304347826086,9.523809523809524,6,50,19,Cd8+ mucosal-associated invariant t cell(cd8+ mait),10.0,50.0,16.666666666666668,9.090909090909092,5,50,10
CD4.Naive,Naive cd4+ t cell,14.000000000000002,16.666666666666664,15.217391304347828,8.235294117647058,7,50,42,T cell,16.0,10.526315789473683,12.698412698412698,6.779661016949152,8,50,76,Activated cd4+ t cell,8.0,20.0,11.428571428571429,6.0606060606060606,4,50,20
CD8.Naive,Naive cd4+ t cell,14.000000000000002,16.666666666666664,15.217391304347828,8.235294117647058,7,50,42,Naive cd8+ t cell,24.0,10.619469026548673,14.723926380368097,7.9470198675496695,12,50,113,Naive t(th0) cell,8.0,20.0,11.428571428571429,6.0606060606060606,4,50,20
Plasma_cell_IgA,Plasma cell,10.0,25.0,14.285714285714288,7.6923076923076925,5,50,20,Plasmablast,6.0,42.857142857142854,10.526315789473683,5.555555555555555,3,50,7,B cell,12.0,6.8181818181818175,8.695652173913043,4.545454545454546,6,50,88
DC3,Myeloid cell,10.0,12.82051282051282,11.235955056179774,5.952380952380952,5,50,39,Natural regulatory t cell,6.0,27.27272727272727,9.836065573770492,5.172413793103448,3,50,11,Myeloid dendritic cell,6.0,13.636363636363635,8.333333333333332,4.3478260869565215,3,50,22
HSC_CD38pos,Progenitor cell,6.0,21.428571428571427,9.375,4.918032786885246,3,50,14,Hematopoietic stem cell,8.0,9.090909090909092,8.51063829787234,4.444444444444445,4,50,44,Circulating angiogenic cell,4.0,66.66666666666666,7.547169811320755,3.9215686274509802,2,50,3
NK_prolif,Cycling cell,4.0,100.0,7.6923076923076925,4.0,2,50,2,Proliferative lymphocyte,4.0,100.0,7.6923076923076925,4.0,2,50,2,Proliferative cell,2.0,100.0,3.9215686274509802,2.0,1,50,1
