Cell_Type,MCS
CD4.Naive,0.959684457871769
CD14_mono,0.9860082023239918
B_naive,0.9313296903460837
MAIT,0.8627960526315788
CD8.Naive,0.957277676950998
NK_16hi,0.9329870129870131
DC3,0.9288943488943489
CD8.EM,0.8389261744966443
CD16_mono,0.9775757575757575
B_switched_memory,0.9254901960784312
B_immature,0.946794871794872
Platelets,0.9181208053691274
gdT,0.8722535211267606
B_malignant,0.9082882882882882
pDC,0.9903614457831326
CD83_CD14_mono,0.932463768115942
NK_56hi,0.864242424242424
HSC_CD38pos,0.9446153846153846
NK_prolif,0.9772727272727272
Plasma_cell_IgA,0.9652631578947367
DC1,1.0
