Cell_Type,MCS,Top_50_Markers
CD4.Naive,0.959684457871769,"INPP4B, BCL11B, CAMK4, LDHB, SERINC5, LEF1, RPS29, PRKCA, RPS15A, TRAC, IL7R, RPS12, ITK, RPS27, RPS25, TPT1, TCF7, RPS3, RPL36, RPL30, RPS27A, CD3D, RPL11, RPS18, RPS14, RPL32, RPS6, RPL13, ANK3, TC2N, EEF1A1, CD6, RPS16, RPL37, RPS28, RPL34, RPL3, CD3E, CD3G, RPL14, RPS4X, RPL35A, RPL19, RPS3A, RPS21, RPL38, RPL9, RPL10, RPLP2, RPL39"
CD14_mono,0.9860082023239918,"LYZ, S100A9, FCN1, MNDA, S100A8, VCAN, CTSS, FOS, PLXDC2, DUSP1, S100A12, S100A6, LRMDA, MS4A6A, CSF3R, DPYD, CD14, CD36, FGL2, CSTA, RBM47, FTL, NEAT1, MIR23AHG, ARHGAP26, PSAP, NAMPT, TYROBP, GRN, CYBB, GPX1, LGALS1, TSPO, NCF2, TYMP, TKT, APLP2, CST3, FTH1, AP1S2, MPEG1, AIF1, S100A11, CLEC7A, IFI30, DMXL2, GABARAP, CPVL, PTPRE, GAB2"
B_naive,0.9313296903460837,"BANK1, AFF3, LINC00926, RALGPS2, CD79A, FCRL1, IGHM, CD37, PAX5, MS4A1, CD79B, CD74, GNG7, NIBAN3, HLA-DQA1, IGHD, ARHGAP24, SIPA1L3, BACH2, TPD52, OSBPL10, STRBP, CD22, PLEKHG1, COL19A1, ZCCHC7, FCHSD2, BLK, SWAP70, EBF1, ADAM28, MEF2C, HLA-DPB1, BCL11A, HLA-DRA, SEL1L3, HLA-DQB1, HLA-DRB1, HLA-DPA1, HVCN1, CDK14, AUTS2, KHDRBS2, RUBCNL, STX7, WDFY4, ADAM7-AS1, SNX2, ADAM19, SNX29"
MAIT,0.8627960526315788,"KLRB1, SLC4A10, PHACTR2, GZMK, ZBTB16, NKG7, GZMA, A2M, KLRG1, IL32, IL7R, CCL5, RORA, COLQ, IKZF2, TCP10L, SYNE2, MYBL1, CTSW, SPOCK2, PARP8, ERN1, SYTL2, TC2N, ADAM12, NCR3, PZP, CST7, TRGC2, PRF1, LINC01871, AGAP1, LYAR, PLCB1, SAMD3, NCALD, ARL4C, STAT4, RPL17, HCST, CBLB, PIP4K2A, ME1, CALM1, CD3D, TTC39C, RUNX2, RASGRF2, IL4I1, SLFN12L"
CD8.Naive,0.957277676950998,"CD8B, NELL2, CD8A, THEMIS, PDE3B, KLRK1, RPS12, CAMK4, RPS28, LEF1, RPS3, RPS14, RPS6, RPL32, APBA2, RPS3A, LINC02446, RPS15A, RPS16, RPL21, RPL13, SERINC5, TCF7, RPLP2, RPL19, RPS21, CD96, LDHB, RPL3, ITK, RPS27A, RPS25, BCL11B, RPL34, RPL30, RPL9, OXNAD1, EEF1B2, RPS4X, RPS5, RPS29, CD3D, RPL28, PITPNC1, EEF1A1, RPS18, RPL5, RPS2, RPS10, RPL14"
NK_16hi,0.9329870129870131,"GNLY, NKG7, PRF1, KLRF1, CD247, KLRD1, CST7, GZMA, CTSW, TGFBR3, HOPX, MCTP2, SAMD3, GZMB, IFITM1, SPON2, TRDC, GZMM, CD7, RAP1GAP2, CLIC3, IL2RB, KLRK1, EFHD2, ABHD17A, SYNE1, CYRIB, PYHIN1, PRKCH, TTC38, NCALD, STAT4, TXK, KLRB1, C1orf21, IFITM2, FCGR3A, FGFBP2, PLAC8, GNG2, ZBTB16, B2M, CCL4, HLA-A, HCST, MATK, HLA-C, SKAP1, APOBEC3G, APMAP"
DC3,0.9288943488943489,"CST3, CPVL, SLC8A1, COTL1, MCTP1, SPI1, LRMDA, LGALS1, CSF2RA, PAK1, KLF4, CCDC88A, RNF130, VIM, GRN, JAML, RAC1, GSTP1, DOCK5, LGALS2, ALDH2, RTN1, RAB31, LST1, ITGAX, AIF1, ANXA2, IFI30, CTSZ, FGL2, FGD4, RAB32, SAMHD1, CSTA, MNDA, EMILIN2, IGSF6, AP1S2, NAMPT, CFP, PLXDC2, CD86, SPECC1, LYZ, GABARAP, CPPED1, RAB11FIP1, CTSH, HLA-DRB6, FCGRT"
CD8.EM,0.8389261744966443,"CCL5, CST7, SYNE1, SAMD3, NKG7, PRKCH, KLRG1, GZMA, MALAT1, PPP2R5C, FYN, ITGAL, SYNE2, KLF12, CTSW, GZMM, CD8A, PYHIN1, RABGAP1L, PIP4K2A, KLRK1, SKAP1, CD3D, TGFBR3, IL32, TRGC2, A2M, STAT4, TOX, ATXN1, PPP2R2B, HLA-A, PITPNC1, LCK, PPP3CC, NFATC2, APOBEC3G, HCST, CMC1, GZMH, TRAC, NCALD, CBLB, PZP, PRF1, LRBA, SLFN12L, CD8B, CD3E, B2M"
CD16_mono,0.9775757575757575,"TCF7L2, LST1, FCGR3A, PELATON, LYN, MTSS1, AIF1, MS4A7, COTL1, CDKN1C, FCER1G, SAT1, RHOC, UTRN, LRRC25, CSF1R, LYST, TNFRSF1B, PECAM1, SERPINA1, HCK, DOCK5, NAP1L1, SPI1, IFI30, TBC1D8, TBXAS1, CEBPB, GRK3, PILRA, FTL, MYOF, WARS1, PPM1L, MAFB, BID, S100A11, SPRED1, NAAA, XYLT1, HES4, RIN3, SIGLEC10, NFKBIZ, RNASET2, RAP1GAP2, POU2F2, ITGAX, ASAH1, VASP"
B_switched_memory,0.9254901960784312,"OSBPL10, BLK, PDE4D, MS4A1, CDK14, EBF1, BANK1, SEL1L3, HLA-DQA1, GNG7, CD79A, RALGPS2, SWAP70, CD74, HLA-DPB1, HLA-DRA, HLA-DQB1, UVRAG, CD37, LINC00926, HLA-DPA1, SSPN, PAX5, ADAM28, PALM2AKAP2, TNFRSF13C, PLCG2, PRKCB, CD79B, MEF2C, ADK, TMEM156, TPD52, ENSG00000258760, AFF3, HLA-DRB1, WDFY4, LYPLAL1, FCRL1, CD22, SCIMP, FCHSD2, NAPSB, AIM2, CD52, HLA-DQA2, SETBP1, EZR, COCH, ARID5B"
