Consensus_Cell_Type,Total_Cells_in_Group,Matching_Individual_Predictions,Cluster_Annotation_Score_CAS (%)
T SKAP1 CD247,9,9,100.0
OPC PDGFRA PCDH15,106,106,100.0
Oligo MOG OPALIN,1175,1145,97.44680851063829
Oligo MOG GSN,37,31,83.78378378378379
Endo CLDN5 SLC7A5,713,558,78.26086956521739
Astro GFAP AQP1,74,52,70.27027027027027
Astro AQP4 SLC1A2,137,92,67.15328467153284
PC P2RY14 GRM8,21,13,61.904761904761905
Micro P2RY12 APBB1IP,95,49,51.578947368421055
L3-5 RORB MKX GRIN3A,52,21,40.38461538461539
L2-3 CUX2 ACVR1C THSD7A,48,18,37.5
L6 FEZF2 SYT6 PTPRT,33,10,30.303030303030305
InN VIP EXPH5,31,5,16.129032258064516
InN SST HTR2C,32,5,15.625
