Cell_Type,MCS
Oligo MOG OPALIN,0.862008510638298
Endo CLDN5 SLC7A5,0.7716970546984574
Astro AQP4 SLC1A2,0.7594160583941606
OPC PDGFRA PCDH15,0.9420754716981132
Micro P2RY12 APBB1IP,0.7865263157894737
Astro GFAP AQP1,0.785135135135135
L3-5 RORB MKX GRIN3A,0.943076923076923
L2-3 CUX2 ACVR1C THSD7A,0.9541666666666666
Oligo MOG GSN,0.9491891891891894
L6 FEZF2 SYT6 PTPRT,0.9612121212121211
InN SST HTR2C,0.955625
InN VIP EXPH5,0.9374193548387096
PC P2RY14 GRM8,0.799047619047619
T SKAP1 CD247,0.6977777777777778
