Cell_Type,MCS,Top_50_Markers
Oligo MOG OPALIN,0.862008510638298,"MBP, CTNNA3, ST18, IL1RAPL1, QKI, PCDH9, SLC44A1, RNF220, SLC24A2, SIK3, PPP2R2B, PLEKHH1, FRMD5, DOCK10, PIP4K2A, SHTN1, PLP1, ANK3, KCNH8, PHLPP1, PDE4B, FRMD4B, TTLL7, TF, PLCL1, MAP7, DOCK5, TMTC2, MOBP, PRUNE2, C10orf90, EDIL3, CERCAM, ZNF536, DLG2, PXK, CLMN, SLC7A14-AS1, NCKAP5, FRYL, MAGI2, FMNL2, ERBIN, UNC5C, TMEM144, PDE8A, MAN2A1, SLAIN1, DLG1, PDE1C"
Endo CLDN5 SLC7A5,0.7716970546984574,"CALM1, SNAP25, MAP1B, NRGN, CHN1, SYT1, CALM3, CAMK2A, YWHAG, IDS, TUBA1B, ENC1, CALM2, STXBP1, VSNL1, HSP90AB1, NORAD, OLFM1, NEFL, STMN2, THY1, YWHAB, BASP1, LMO4, YWHAH, TSPYL1, SNHG14, VAMP2, ARPP19, RTN3, RTN1, COPG2IT1, CREG2, UCHL1, SPARCL1, PPP3CA, PEBP1, RAB6B, MEF2C, ATP6V0C, ATP1B1, BEX1, RGS4, TSC22D1, SLC17A7, PRNP, ATP2B2, GNAS, PRKCB, CAMK2B"
Astro AQP4 SLC1A2,0.7594160583941606,"SLC1A2, ADGRV1, GPC5, CTNNA2, MSI2, MACF1, PITPNC1, PTGDS, GPM6A, COL5A3, LINC00299, RYR3, RORA, SYNE1, MMD2, MIR9-1HG, NRG3, TNIK, NTM, SLC1A3, NRXN1, SFXN5, ATP1A2, PRDM16, CTNND2, DTNA, SORBS1, LSAMP, OBI1-AS1, NPAS3, ENSG00000286757, CABLES1, ABLIM1, NKAIN3, SLC4A4, HPSE2, ZNRF3, ACSS1, NEBL, RPS6KA2, CACNB2, SOX5, NTRK2, NHSL1, NEAT1, HIF3A, ARHGEF4, MROH7, ZNF98, LRP1B"
OPC PDGFRA PCDH15,0.9420754716981132,"TNR, PTPRZ1, LHFPL3, LRRC4C, DSCAM, VCAN, XYLT1, PCDH15, KCNMB2, CA10, OPCML, MEGF11, GRID2, CSMD1, SLC35F1, LUZP2, LRP1B, CSMD3, LINC00511, DPP6, PDGFRA, CHST11, KCNIP4, CACNA1A, EPN2, NRXN1, PDZD2, SOX6, SNTG1, SEMA5A, MDGA2, LRRTM4, SEZ6L, NRCAM, NLGN1, DCC, BRINP3, ADGRL3, FGF14, MMP16, KAZN, DAB1, NOVA1, SMOC1, OPHN1, KCND2, ATRNL1, ENSG00000278254, GRIK1, NXPH1"
Micro P2RY12 APBB1IP,0.7865263157894737,"LRMDA, SFMBT2, FRMD4A, DOCK4, PLXDC2, DOCK8, ARHGAP24, MEF2A, BMP2K, INPP5D, FYB1, DOCK2, SLCO2B1, ST6GAL1, TBXAS1, APBB1IP, SRGAP2, EPB41L2, SORL1, LPAR6, FOXN3, ADAM28, DLEU1, C3, MAML3, ARHGAP15, CHST11, LDLRAD4, ARHGAP22, SAT1, DISC1, KCNQ3, ABR, ZFP36L1, ZFHX3, ATP8B4, ITPR2, AOAH, DENND3, MTHFD1L, ABCC4, PALD1, MGAT4A, AKAP13, RHBDF2, CSF2RA, RNASET2, OXR1, SLC4A7, ZNF710"
Astro GFAP AQP1,0.785135135135135,"GFAP, DPP10, SORBS1, MSI2, NRG3, PITPNC1, DCLK2, MACF1, CTNND2, CTNNA2, PRKCA, MIR9-1HG, RYR3, PTGDS, KCNN3, GLIS3, ADGRV1, CLU, ENSG00000286757, NEAT1, ABLIM1, NEBL, ZFP36L1, CSGALNACT1, ARHGEF4, AMZ2, RORA, PRKG1, LINC00299, RFX4, TRPM3, OBI1-AS1, ADCY2, ABR, NTM, TNIK, PARD3, RPS6KA2, WWOX, ITGB4, DST, MROH7, NPAS3, LRIG1, ENSG00000287704, TNC, ATP1A2, PFKFB3, MALAT1, ITPKB"
L3-5 RORB MKX GRIN3A,0.943076923076923,"KCNIP4, RALYL, AGBL4, NRG1, FSTL4, CCSER1, RBFOX1, ENSG00000287172, STXBP5L, MEG3, TENM2, NALF1, OLFM3, RYR2, KCNQ5, CNTN5, KALRN, MIR137HG, KCNB2, OPCML, KHDRBS3, PHACTR1, DLGAP2, ERC2, LRFN5, CSMD1, NRG3, LDB2, GRM7, FSTL5, PTPRT, ZNF385B, ARPP21, MDGA2, CASC15, PDE4D, RGS7, ST6GALNAC5, THRB, SNTG1, CTNNA2, HECW1, FRMPD4, FGF14, FRMD4A, NEGR1, FAT3, RIMS2, HCN1, CADPS"
L2-3 CUX2 ACVR1C THSD7A,0.9541666666666666,"MEG3, KCNIP4, SYN3, RALYL, KALRN, LINGO2, MIAT, DLGAP2, ENSG00000289731, KCNQ5, CDH9, MIR137HG, CSMD1, KHDRBS2, CACNA1B, CNTN4, LRRTM4, RBFOX1, RGS6, AGBL4, LDB2, TENM2, ADGRL2, STXBP5L, MIR124-1HG, CBLN2, LINC01250, SRRM3, ENSG00000285939, DLGAP1, MTUS2, HS6ST3, TAFA1, DIRC3-AS1, RGS7, SATB2, RIMS2, MLIP, TMEM132D, PHACTR1, FGF14, CDH12, LY86-AS1, BASP1-AS1, LRFN5, ATRNL1, SHISA9, ENSG00000229618, CELF2, GRIA1"
Oligo MOG GSN,0.9491891891891894,"LINC00609, MAN2A1, MVB12B, SLC25A13, FMNL2, SLC5A11, LMCD1-AS1, MOBP, ACTN2, DPYD, NKAIN2, QKI, CDK18, ST18, SYNJ2, CNTNAP4, ENSG00000227088, AGPAT4, ANKRD18A, TMEM165, TBC1D12, CHN2, ENSG00000258342, ENSG00000286749, PCSK6, LRP2, ANLN, FAM13C, PLP1, RNF220, PWRN1, LINC01505, DPYSL5, ITGA2, ENSG00000287277, ENSG00000258844, LDB3, RASGRF2, PRR5L, MAGI2, CTNNA3, MAP7, S100B, SLC39A11, TMEM144, SGK3, ZDHHC20, UGT8, GRB10, MARCKSL1"
L6 FEZF2 SYT6 PTPRT,0.9612121212121211,"MEG3, CADPS, KIAA1217, CDH18, FRMPD4, MIAT, CSMD1, HS3ST4, RALYL, MIR137HG, NALF1, MDGA2, NAV3, NEGR1, ASIC2, RIMS2, ENSG00000291133, PTPRR, PHACTR1, DPP10, GRIK3, PDZRN4, CNTNAP5, BCL11A, CELF2, SORBS2, FGF14, GRIP1, MLIP, KHDRBS3, CLSTN2, SEMA3E, SLC35F1, RBFOX3, FRAS1, SRRM4, PLEKHA5, PCDH11Y, RBFOX1, ANKS1B, KALRN, NRG3, CACNA2D3, SLC4A10, STXBP5-AS1, PRKAG2, EPHA5, NELL2, ENSG00000286863, AGBL4"
