call_number,strategy,n_hvg,n_pcs,n_neighbors,resolution,yield_score_target,balanced_score_gmean,weighted_mean_cas,simple_mean_cas,mean_mcs,mean_f1,mean_confidence,silhouette_score,n_individual_labels,n_consensus_labels
1,Exploit,6479,27,41,1.3953,60.3065,72.2213,52.4908,53.7384,85.1128,11.1118,,0.1467,95,9
2,Exploit,3714,19,28,1.0006,61.5884,73.7930,53.2051,58.0137,85.6315,10.4561,,0.1867,95,9
3,Exploit,1326,69,12,1.5830,61.0832,73.2433,54.0842,56.3321,85.4977,9.0131,,0.0426,95,13
4,Exploit,7599,10,50,1.4262,58.3404,69.8668,51.4286,50.1710,81.4956,10.7484,,0.2523,95,8
5,Exploit,5022,11,11,1.2872,60.5742,72.5807,53.1685,56.6123,82.2474,10.2141,,0.2115,95,9
6,Exploit,3352,14,49,0.8492,59.5717,71.3066,50.6410,52.3008,85.2967,11.8214,,0.2190,95,6
7,Exploit,914,66,25,1.9748,59.0879,70.7954,53.0220,51.5652,81.8573,10.0723,,0.0348,95,11
8,Exploit,3879,87,37,1.1757,59.6611,71.4785,52.3810,52.7176,84.1375,10.2563,,0.0213,95,9
9,Exploit,305,95,33,1.0781,59.5562,71.3136,51.2454,53.1788,83.5363,11.1957,,0.0345,95,7
10,Exploit,326,31,20,1.5249,59.7146,71.5634,52.4359,52.8010,84.8106,9.7597,,0.0489,95,9
11,Exploit,3956,14,28,0.9649,60.4133,72.3927,53.7546,55.9542,81.5686,10.0685,,0.2362,95,10
12,Exploit,1361,99,29,1.8167,59.4515,71.2384,52.5641,53.4225,81.8844,9.9543,,0.0293,95,9
13,Exploit,2789,97,11,1.7949,62.1954,74.5899,55.0366,60.5719,84.3366,8.8622,,0.0327,95,14
14,Exploit,4271,100,10,1.9600,62.5724,75.0565,55.5311,60.4623,86.1848,8.5633,,0.0327,95,15
15,Exploit,6409,100,10,1.6069,61.9633,74.3318,54.8352,59.6981,85.1669,8.3360,,0.0352,95,15
16,Exploit,200,100,10,2.0000,59.0207,70.7340,51.7766,50.6090,85.5822,9.5922,,0.0183,95,11
17,Exploit,4270,100,10,1.6836,62.5854,75.0677,55.1465,61.3499,85.4827,8.6707,,0.0413,95,14
