Cell_Type,MCS
Endo CLDN5 SLC7A5,0.7442769665567593
Oligo MOG OPALIN,0.9155238095238096
Astro AQP4 SLC1A2,0.9184516129032257
L3-5 RORB MKX GRIN3A,0.972258064516129
PC P2RY14 GRM8,0.9484782608695653
Micro P2RY12 CCL3,0.9145454545454546
OPC PDGFRA PCDH15,0.9764516129032258
InN SST STK32A,0.9374074074074074
Astro GFAP FABP7,0.9773584905660377
VLMC COL1A2 VLMCA8,0.5778723404255319
InN LAMP5 BMP7,0.9480952380952381
L2-3 CUX2 NTNG1 PALMD,0.9351515151515152
SMC ACTA2 CNN1,0.71875
L3-5 RORB MKX DCC,0.9491666666666667
T SKAP1 CD247,0.6736842105263159
