Consensus_Cell_Type,Total_Cells_in_Group,Matching_Individual_Predictions,Cluster_Annotation_Score_CAS (%)
VLMC COL1A2 VLMCA8,10,10,100.0
OPC PDGFRA PCDH15,71,71,100.0
PC P2RY14 GRM8,43,42,97.67441860465117
L6 OPRK1 THEMIS RGS6,66,59,89.39393939393939
L2-3 CUX2 ACVR1C THSD7A,52,46,88.46153846153847
Micro P2RY12 APBB1IP,137,105,76.64233576642336
Endo CLDN5 SLC7A5,759,573,75.49407114624506
Oligo MOG OPALIN,1131,722,63.837312113174185
Astro AQP4 SLC1A2,410,259,63.170731707317074
Astro GFAP AQP1,103,53,51.45631067961165
L3-5 RORB MKX DCC,48,10,20.833333333333332
InN LAMP5 BMP7,59,11,18.64406779661017
InN SST FREM1,80,14,17.5
