Cluster_ID (Leiden),Consensus_Cell_Type,Total_Cells_in_Group,Matching_Individual_Predictions,Cluster_Annotation_Score_CAS (%)
11,OPC PDGFRA PCDH15,71,71,100.0
18,VLMC COL1A2 VLMCA8,10,10,100.0
16,PC P2RY14 GRM8,24,24,100.0
17,PC P2RY14 GRM8,19,18,94.73684210526316
2,Oligo MOG OPALIN,372,344,92.47311827956989
5,Astro AQP4 SLC1A2,172,154,89.53488372093024
12,L6 OPRK1 THEMIS RGS6,66,59,89.39393939393939
4,Endo CLDN5 SLC7A5,195,174,89.23076923076923
14,L2-3 CUX2 ACVR1C THSD7A,52,46,88.46153846153847
6,Oligo MOG OPALIN,152,130,85.52631578947368
7,Micro P2RY12 APBB1IP,137,105,76.64233576642336
1,Endo CLDN5 SLC7A5,446,327,73.31838565022422
8,Endo CLDN5 SLC7A5,118,72,61.016949152542374
9,Astro GFAP AQP1,103,53,51.45631067961165
3,Astro AQP4 SLC1A2,238,105,44.11764705882353
0,Oligo MOG OPALIN,607,248,40.85667215815486
15,L3-5 RORB MKX DCC,48,10,20.833333333333332
13,InN LAMP5 BMP7,59,11,18.64406779661017
10,InN SST FREM1,80,14,17.5
