Cluster_ID,Assigned_Cell_Type,Precision (%),Recall (%),F1_Score (%),Jaccard (%),True_Positive_Count,Predicted_Marker_Count,Reference_Marker_Count,Assigned_Cell_Type_2,Precision_2 (%),Recall_2 (%),F1_Score_2 (%),Jaccard_2 (%),True_Positive_Count_2,Predicted_Marker_Count_2,Reference_Marker_Count_2,Assigned_Cell_Type_3,Precision_3 (%),Recall_3 (%),F1_Score_3 (%),Jaccard_3 (%),True_Positive_Count_3,Predicted_Marker_Count_3,Reference_Marker_Count_3
OPC PDGFRA PCDH15,Oligodendrocyte precursor cell,14.000000000000002,53.84615384615385,22.22222222222222,12.5,7,50,13,Oligodendrocyte progenitor cells,12.0,21.428571428571427,15.384615384615383,8.333333333333332,6,50,28,Oligodendrocyte progenitor cell,8.0,36.36363636363637,13.114754098360654,7.017543859649122,4,50,11
Oligo MOG OPALIN,Oligodendrocytes,14.000000000000002,7.954545454545454,10.144927536231885,5.343511450381679,7,50,88,Oligodendrocyte,20.0,5.46448087431694,8.583690987124463,4.484304932735426,10,50,183,Mature oligodendrocyte,4.0,40.0,7.2727272727272725,3.7735849056603774,2,50,5
Micro P2RY12 APBB1IP,Microglia,10.0,7.042253521126761,8.264462809917356,4.310344827586207,5,50,71,Lake et al.science.ex6,4.0,5.88235294117647,4.761904761904763,2.4390243902439024,2,50,34,Activated cd8+ t cell,2.0,100.0,3.9215686274509802,2.0,1,50,1
Endo CLDN5 SLC7A5,Neuron,16.0,4.624277456647398,7.174887892376682,3.7209302325581395,8,50,173,Pyramidal cells,6.0,8.571428571428571,7.0588235294117645,3.6585365853658534,3,50,35,Excitatory neuron,4.0,11.11111111111111,5.88235294117647,3.0303030303030303,2,50,18
InN SST FREM1,Lake et al.science.ex6,6.0,8.823529411764707,7.1428571428571415,3.7037037037037033,3,50,34,Purkinje neurons,6.0,5.084745762711865,5.5045871559633035,2.8301886792452833,3,50,59,Neuron,12.0,3.4682080924855487,5.381165919282512,2.7649769585253456,6,50,173
PC P2RY14 GRM8,Mural cell,4.0,28.57142857142857,7.017543859649124,3.6363636363636362,2,50,7,Pericyte,4.0,10.526315789473683,5.797101449275362,2.9850746268656714,2,50,19,Cancer-associated fibroblast,2.0,33.33333333333333,3.7735849056603774,1.9230769230769231,1,50,3
Astro AQP4 SLC1A2,Astrocyte,18.0,4.30622009569378,6.94980694980695,3.5999999999999996,9,50,209,Bergmann glia,6.0,7.317073170731707,6.593406593406592,3.4090909090909087,3,50,41,Astrocytes,6.0,4.761904761904762,5.309734513274336,2.727272727272727,3,50,63
Astro GFAP AQP1,Astrocyte,16.0,3.827751196172249,6.177606177606178,3.187250996015936,8,50,209,Purkinje neurons,4.0,3.389830508474576,3.669724770642202,1.8691588785046727,2,50,59,Lake et al.science.ex5,2.0,11.11111111111111,3.389830508474577,1.7241379310344827,1,50,9
L6 OPRK1 THEMIS RGS6,Excitatory neuron,4.0,11.11111111111111,5.88235294117647,3.0303030303030303,2,50,18,Purkinje neurons,6.0,5.084745762711865,5.5045871559633035,2.8301886792452833,3,50,59,Cajal-retzius cells,6.0,3.8461538461538463,4.687500000000001,2.4,3,50,78
L2-3 CUX2 ACVR1C THSD7A,Pyramidal cells,4.0,5.714285714285714,4.7058823529411775,2.4096385542168677,2,50,35,Somatostatin interneuron,2.0,20.0,3.6363636363636362,1.8518518518518516,1,50,5,Lake et al.science.ex1,2.0,7.142857142857142,3.125,1.5873015873015872,1,50,14
InN LAMP5 BMP7,Neuroblasts,4.0,4.0,4.0,2.0408163265306123,2,50,50,Parvalbumin interneuron,2.0,25.0,3.7037037037037033,1.8867924528301887,1,50,4,Purkinje neurons,4.0,3.389830508474576,3.669724770642202,1.8691588785046727,2,50,59
VLMC COL1A2 VLMCA8,Fibrous astrocyte,2.0,50.0,3.8461538461538463,1.9607843137254901,1,50,2,Lake et al.science.ex2,2.0,10.0,3.3333333333333335,1.694915254237288,1,50,10,Fibroblast,2.0,6.666666666666667,3.0769230769230766,1.5625,1,50,15
L3-5 RORB MKX DCC,Somatostatin interneuron,2.0,20.0,3.6363636363636362,1.8518518518518516,1,50,5,Retinal ganglion cells,4.0,2.898550724637681,3.361344537815126,1.7094017094017095,2,50,69,Lake et al.science.ex4,2.0,7.6923076923076925,3.1746031746031753,1.6129032258064515,1,50,13
