call_number,strategy,n_hvg,n_pcs,n_neighbors,resolution,yield_score_target,balanced_score_gmean,weighted_mean_cas,simple_mean_cas,mean_mcs,mean_f1,mean_confidence,silhouette_score,n_individual_labels,n_consensus_labels
1,Exploit,5446,27,41,1.3953,59.2980,75.4212,60.2244,59.0149,81.6116,10.1685,,0.1609,63,8
2,Exploit,3136,19,28,1.0006,59.9475,76.2287,60.6297,59.8508,83.1130,10.6107,,0.1814,63,6
3,Exploit,1141,69,12,1.5830,59.0661,75.1584,61.4090,56.4825,82.9861,9.5583,,0.0527,63,10
4,Exploit,6381,10,50,1.4262,60.4543,76.8885,60.3180,61.3789,84.5681,10.4278,,0.2212,63,7
5,Exploit,4228,11,11,1.2872,61.3738,78.1163,62.6559,61.3168,87.7851,9.5501,,0.2113,63,10
6,Exploit,2833,14,49,0.8492,60.6718,77.1150,60.3491,58.0546,89.5595,11.3564,,0.2530,63,6
7,Exploit,797,66,25,1.9748,58.3301,74.1595,60.1933,52.3223,85.5654,10.5476,,0.0381,63,7
8,Exploit,3274,87,37,1.1757,57.6444,73.2491,59.3516,51.5699,83.1531,11.1076,,0.0786,63,6
9,Exploit,287,95,33,1.0781,58.5577,74.4556,59.6945,54.0073,85.0460,10.4678,,-0.0066,63,5
10,Exploit,305,31,20,1.5249,59.8470,76.1162,61.0037,57.0104,86.4638,10.3211,,0.0870,63,7
11,Exploit,4301,10,10,1.2889,62.1087,79.0219,61.6895,65.5358,86.8746,10.1933,,0.2124,63,9
12,Exploit,200,10,10,0.5000,61.1583,77.7784,61.4090,62.3323,85.5582,10.6477,,0.2018,63,7
13,Exploit,6786,10,10,2.0000,62.2086,79.1302,62.8741,63.4509,88.2145,10.5428,,0.1834,63,10
14,Exploit,1222,75,28,1.2327,58.5114,74.3677,59.6633,53.9573,84.2805,10.9762,,0.0625,63,5
15,Exploit,6786,10,10,0.5000,62.6081,79.6341,61.6272,67.4199,86.8106,10.6867,,0.2487,63,8
16,Exploit,6389,44,33,1.3581,58.1933,73.9732,60.2868,53.5412,82.4495,10.7416,,0.1134,63,6
17,Exploit,4162,20,26,1.9142,60.9062,77.4867,61.9077,61.3087,85.4676,10.0893,,0.1607,63,8
18,Exploit,6641,16,41,0.5564,61.9930,78.8146,60.9102,60.4559,93.3273,11.2436,,0.2739,63,5
19,Exploit,3953,19,40,1.8861,60.0472,76.3677,61.4090,59.7073,83.0525,10.4113,,0.1520,63,8
20,Exploit,2366,45,12,1.1163,59.6522,75.9231,61.3778,57.1310,85.7916,9.3167,,0.1417,63,8
