Consensus_Cell_Type,Total_Cells_in_Group,Matching_Individual_Predictions,Cluster_Annotation_Score_CAS (%)
OPC PDGFRA PCDH15,91,91,100.0
Astro GFAP FABP7,118,117,99.15254237288136
Astro GFAP AQP1,49,47,95.91836734693878
PC P2RY14 GRM8,162,151,93.20987654320987
Oligo MOG OPALIN,1517,1390,91.6282135794331
L2-3 CUX2 ACVR1C THSD7A,110,100,90.9090909090909
Astro AQP4 SLC1A2,161,140,86.95652173913044
Micro P2RY12 APBB1IP,183,143,78.14207650273224
L6 OPRK1 THEMIS RGS6,52,39,75.0
Endo CLDN5 SLC7A5,929,653,70.29063509149623
L3-5 RORB MKX GRIN3A,58,29,50.0
InN LAMP5 LHX6 TAC1,37,16,43.24324324324324
L3-5 RORB GABRG1 KCNH7,23,9,39.130434782608695
InN ADARB2 FAM19A1,26,10,38.46153846153846
InN PVALB ANOS1,75,28,37.333333333333336
InN SST ADAMTSL1,167,54,32.33532934131737
L2-3 CUX2 NTNG1 PALMD,121,39,32.231404958677686
L6 FEZF2 NPFFR2 TPD52L1,71,14,19.718309859154928
InN VIP EXPH5,106,20,18.867924528301888
