Cell_Type,MCS,Top_50_Markers
Oligo MOG OPALIN,0.8822280817402768,"CTNNA3, MBP, ST18, PLP1, RNF220, IL1RAPL1, PCDH9, SLC44A1, QKI, FRMD5, PDE4B, PIP4K2A, FRMD4B, PLEKHH1, KCNH8, EDIL3, SLC24A2, DOCK10, C10orf90, SIK3, MOBP, SHTN1, MAP7, DOCK5, TTLL7, ENPP2, TMTC2, PHLPP1, PPP2R2B, PLCL1, TMEM144, SLC7A14-AS1, ELMO1, PXK, TF, BCAS1, TRIM2, PRUNE2, CREB5, MAN2A1, UNC5C, SH3GL3, ANK3, CLMN, POLR2F, ZNF536, FMNL2, DPYD, NCKAP5, FA2H"
Endo CLDN5 SLC7A5,0.7103982777179764,"CALM1, MAP1B, SNAP25, NRGN, SYT1, CHN1, HSP90AB1, TUBA1B, CALM3, SPARCL1, HSP90AA1, CALM2, NEFL, OLFM1, VSNL1, IDS, PEBP1, YWHAH, YWHAG, STXBP1, STMN2, THY1, GAPDH, GNAS, CLU, CCK, CAMK2A, ENC1, RTN3, YWHAB, LMO4, STMN1, NORAD, ATP6V0C, RTN1, UCHL1, VAMP2, FTH1, ATP1B1, BASP1, ATP2B1, DNM1, BEX1, TMSB10, NEFM, RAB6B, CREG2, ARPP19, CLSTN1, MAP1A"
Micro P2RY12 APBB1IP,0.7605464480874319,"LRMDA, PLXDC2, FRMD4A, SYNDIG1, DOCK4, ST6GAL1, SFMBT2, APBB1IP, ENSG00000285534, ARHGAP24, ITPR2, INPP5D, DOCK8, SRGAP2, ABR, MEF2A, CYFIP1, RASGEF1C, FOXN3, LDLRAD4, KCNQ3, ADAM28, TBXAS1, ENSG00000249738, EPB41L2, CHST11, SORL1, P2RY12, DOCK2, MAML3, MEF2C, AOAH, ST6GALNAC3, C3, CSF1R, DISC1, ATP8B4, LPAR6, PALD1, FYB1, RUNX1, ABCC4, LINC01374, ZFHX3, SLCO2B1, DLEU1, SH3RF3, ZNF710, MAML2, CX3CR1"
InN SST ADAMTSL1,0.9683832335329342,"GRIK1, KIAA1217, KIF26B, NXPH1, RBFOX1, XKR4, ROBO2, GRIP1, DLGAP1, GRIK2, NRXN3, SYNPR, TIAM1, GRIK3, SOX6, PTPRN2, CDH9, TENM1, GRIA1, ROBO1, DAB1, CADPS, SLC24A3, SNHG14, LRP8, KAZN, RIMS2, CNTNAP2, TENM3, MTUS2, PIP5K1B, RBMS3, RUNX1T1, WLS, NETO2, KCNIP1, PTPRM, BCL11A, SLC44A5, FGF14, PLCH1, OXR1, GAD1, CACNA1A, ADGRL2, TENM2, CDH12, FAM135B, LHFPL3, LINC01122"
PC P2RY14 GRM8,0.9314814814814812,"ATP1A2, EBF1, DLC1, ITIH5, ARHGAP29, COLEC12, LAMA2, SLC6A1, COBLL1, EPS8, SLC19A1, UTRN, IGFBP7, SLC38A11, RBMS3, PDGFRB, RGS5, LHFPL6, SLC20A2, PARD3, EPAS1, PTEN, PRKG1, PDE7B, MYO1B, ZEB1, ARHGAP42, PLCB4, CARMN, CALD1, CYTH3, PTPRG, SNRK, RORA, SLC12A7, GPC5, SLC6A12, ENSG00000243620, SYNE2, ADAMTS9-AS2, DACH1, ARHGAP10, PDE8B, HTR1F, GRM8, NOTCH3, SLC30A10, PDZD2, NR2F2-AS1, SLC6A13"
Astro AQP4 SLC1A2,0.8809937888198758,"SLC1A2, PITPNC1, GPC5, GPM6A, ADGRV1, MACF1, SLC1A3, CTNNA2, RYR3, SYNE1, RORA, MSI2, COL5A3, MIR9-1HG, MMD2, OBI1-AS1, SFXN5, LSAMP, NTM, CABLES1, NRXN1, CTNND2, ZNF98, DTNA, PPP1R9A-AS1, ENSG00000286757, ABLIM1, ATP1A2, HPSE2, SLC4A4, SORBS1, NKAIN3, NPAS3, NHSL1, LINC00299, HIF3A, OLFM2, FGFR3, SOX5, ZNRF3, CAMK2G, TNIK, PRKCA, PRDM16, CADM1, LINC00511, AHCYL2, LINC03051, NRG3, ACOT11"
L2-3 CUX2 NTNG1 PALMD,0.9431404958677686,"KCNIP4, TAFA1, MEG3, DLGAP2, MIAT, HS6ST3, RALYL, LINGO2, ENSG00000229425, LDB2, KCNH7, R3HDM1, KHDRBS2, FLRT2, OLFM3, CBLN2, KCNQ5, CDH18, FAT3, LINC01250, AGBL4, UNC5D, CSMD1, LRRTM4, ENSG00000229618, CABP1, SLC2A13, ENSG00000225689, KALRN, TENM2, CNTN3, STXBP5L, CUX2, PKNOX2, ENSG00000250243, CSMD3, RIMS2, NELL2, TMEM132D, GRM7, NTNG1, CELF2, MIR137HG, CA10, ST6GALNAC5, CACNA1B, RGS6, HECW1, RBFOX1, ENSG00000248994"
Astro GFAP FABP7,0.9125423728813561,"DPP10, ADGRV1, DCLK2, DTNA, GFAP, OBI1-AS1, MSI2, PITPNC1, AMZ2, ENSG00000286757, CTNNA2, SORBS1, ZNRF3, SPARCL1, TNIK, LRIG1, AHCYL2, NPAS3, ARHGEF4, GPM6A, NTM, MMD2, CLU, AQP4, GLIS3, ABLIM1, FMN2, SLC1A2, PRKCA, ENSG00000284977, PRKG1, RFX4, MALAT1, MACF1, BICD1, ITPR2, LSAMP, MIR99AHG, SLC4A4, CAMK2G, APOE, NKAIN3, GRAMD2B, CST3, PPP1R9A-AS1, KANK1, NRG3, ACOT11, MIR9-1HG, SLC1A3"
L2-3 CUX2 ACVR1C THSD7A,0.9678181818181818,"KCNIP4, LRRTM4, CBLN2, ENSG00000229618, SYN3, KCNQ5, GRIA4, LINC01250, MEG3, HS6ST3, ENSG00000254092, CDH18, DGKB, CSMD1, R3HDM1, SLIT3, MLIP, DIRC3-AS1, DLGAP2, FSTL4, CACNA1E, CDH9, LDB2, ASIC2, NDST3, MALAT1, DGCR5, LINC01378, LINC02306, TAFA1, PHACTR1, CELF2, EML6, STXBP5L, ADGRL2, KALRN, CUX2, GABRB3, RALYL, GALNTL6, NTRK3, PCDH7, EPIC1, KCTD16, PDE4D, CHRM3, CTNNAL1, ATRNL1, SHISA9, CDH22"
InN VIP EXPH5,0.9613207547169813,"ADARB2, DLX6-AS1, GALNTL6, ERBB4, RGS12, SYNPR, SLC24A3, SNHG14, CNTNAP2, SNTG1, GRM7, FGF14, ROBO2, DSCAM, CSMD1, GRIK2, KAZN, DAB1, KCNT2, PLD5, SORCS3, CHRM3, CACNA1D, CNTN4, SLC44A5, FRMD4A, ABTB3, GABRG3, LRFN2, CRACD, SRRM4, CCSER1, LINGO2, NRXN1, C8orf34, NRXN3, SEZ6L, GRIP1, ANKRD30BL, GALNT17, THSD7A, MYT1L, MEG8, ZNF804A, ROBO1, AFAP1, CSMD3, PWRN1, VIP, NYAP2"
