call_number,strategy,n_hvg,n_pcs,n_neighbors,resolution,yield_score_target,balanced_score_gmean,weighted_mean_cas,simple_mean_cas,mean_mcs,mean_f1,mean_confidence,silhouette_score,n_individual_labels,n_consensus_labels
1,Exploit,5518,27,41,1.3953,57.6684,69.3760,55.0328,53.0357,69.6461,11.1484,,0.0366,88,4
2,Exploit,3176,19,28,1.0006,59.1801,71.2039,55.3246,55.9930,73.0021,11.2193,,0.0571,88,5
3,Exploit,1154,69,12,1.5830,59.1072,71.1339,55.2881,54.2012,75.5360,10.7884,,-0.0047,88,6
4,Exploit,6466,10,50,1.4262,56.9009,68.4616,54.3764,49.9556,71.1498,10.7861,,0.0579,88,4
5,Exploit,4283,11,11,1.2872,57.8364,69.6837,55.3793,52.6366,73.1236,8.6808,,0.0652,88,8
6,Exploit,2869,14,49,0.8492,56.8175,68.2186,54.1940,48.5544,69.4747,14.1497,,0.0650,88,3
7,Exploit,805,66,25,1.9748,57.2454,68.8978,54.9781,53.6603,67.6152,10.3385,,-0.0062,88,6
8,Exploit,3316,87,37,1.1757,56.6612,68.2080,54.8505,51.4054,68.2152,9.9180,,-0.0048,88,5
9,Exploit,289,95,33,1.0781,58.2013,69.9808,54.3399,53.8277,71.2188,12.1111,,-0.0137,88,3
10,Exploit,307,31,20,1.5249,58.9292,70.8891,54.9052,54.3292,74.2139,11.4777,,-0.0052,88,5
11,Exploit,4372,19,28,1.1918,57.4725,69.0482,54.7775,52.1486,68.0084,13.2912,,0.0460,88,4
12,Exploit,2955,90,10,0.5000,60.3739,72.6924,55.6528,57.2032,78.2602,10.2117,,0.0068,88,7
13,Exploit,200,100,10,0.5000,59.4937,71.5259,54.6317,55.6509,74.5890,12.5902,,0.0251,88,5
14,Exploit,3545,88,10,0.5000,60.0068,72.2524,55.5434,56.3292,77.7635,10.1014,,0.0093,88,7
15,Exploit,5561,18,13,0.5000,58.9532,70.9506,55.5616,55.4928,72.7049,10.7087,,0.1539,88,6
16,Exploit,2457,93,10,0.5000,60.0706,72.3151,55.3611,56.2590,78.0875,10.4479,,0.0193,88,7
17,Exploit,2895,100,10,0.5250,59.0857,71.1560,55.5799,53.3492,77.4532,9.6479,,0.0473,88,7
18,Exploit,2273,52,43,0.5000,57.2824,68.8866,54.9599,52.2884,68.2702,11.6654,,0.0635,88,5
19,Exploit,708,88,14,0.5000,58.4120,70.3120,55.1605,52.1194,75.4726,10.3085,,0.1632,88,7
20,Exploit,3386,89,11,0.5000,59.7561,71.9488,55.5981,56.6481,75.9222,10.1014,,0.0186,88,7
