Cluster_ID,Assigned_Cell_Type,Precision (%),Recall (%),F1_Score (%),Jaccard (%),True_Positive_Count,Predicted_Marker_Count,Reference_Marker_Count,Assigned_Cell_Type_2,Precision_2 (%),Recall_2 (%),F1_Score_2 (%),Jaccard_2 (%),True_Positive_Count_2,Predicted_Marker_Count_2,Reference_Marker_Count_2,Assigned_Cell_Type_3,Precision_3 (%),Recall_3 (%),F1_Score_3 (%),Jaccard_3 (%),True_Positive_Count_3,Predicted_Marker_Count_3,Reference_Marker_Count_3
L5-6 FEZF2 NXPH2 CDH8,Lake et al.science.ex6,20.0,29.411764705882355,23.80952380952381,13.513513513513514,10,50,34,Subplate cell,2.0,50.0,3.8461538461538463,1.9607843137254901,1,50,2,Epithelial cell,2.0,33.33333333333333,3.7735849056603774,1.9230769230769231,1,50,3
OPC PDGFRA PCDH15,Oligodendrocyte precursor cell,14.000000000000002,53.84615384615385,22.22222222222222,12.5,7,50,13,Oligodendrocyte progenitor cells,12.0,21.428571428571427,15.384615384615383,8.333333333333332,6,50,28,Oligodendrocyte progenitor cell,8.0,36.36363636363637,13.114754098360654,7.017543859649122,4,50,11
L6 FEZF2 NPFFR2 TPD52L1,Lake et al.science.ex6,16.0,23.52941176470588,19.04761904761905,10.526315789473683,8,50,34,Somatostatin interneuron,2.0,20.0,3.6363636363636362,1.8518518518518516,1,50,5,Neurons,4.0,0.9852216748768473,1.5810276679841897,0.796812749003984,2,50,203
Endo CLDN5 SLC7A5,Excitatory neuron,8.0,22.22222222222222,11.76470588235294,6.25,4,50,18,Pyramidal cells,8.0,11.428571428571429,9.411764705882355,4.938271604938271,4,50,35,Neuron,20.0,5.780346820809249,8.968609865470851,4.694835680751173,10,50,173
L3-5 RORB MKX DCC,Lake et al.science.ex5,6.0,33.33333333333333,10.169491525423728,5.357142857142857,3,50,9,Cajal-retzius cells,6.0,3.8461538461538463,4.687500000000001,2.4,3,50,78,Immature neurons,4.0,5.263157894736842,4.545454545454545,2.3255813953488373,2,50,38
Oligo MOG OPALIN,Oligodendrocytes,14.000000000000002,7.954545454545454,10.144927536231885,5.343511450381679,7,50,88,Mature oligodendrocyte,4.0,40.0,7.2727272727272725,3.7735849056603774,2,50,5,Oligodendrocyte,16.0,4.371584699453552,6.866952789699571,3.5555555555555554,8,50,183
L2-4 CUX2 RORB CLMN,Lake et al.science.ex2,6.0,30.0,10.0,5.263157894736842,3,50,10,Neuroblasts,6.0,6.0,6.0,3.0927835051546393,3,50,50,Neuroendocrine cells,4.0,7.4074074074074066,5.194805194805195,2.666666666666667,2,50,27
Micro P2RY12 APBB1IP,Microglia,12.0,8.450704225352112,9.917355371900827,5.217391304347826,6,50,71,Lake et al.science.ex8,6.0,5.084745762711865,5.5045871559633035,2.8301886792452833,3,50,59,A1 astrocyte,2.0,50.0,3.8461538461538463,1.9607843137254901,1,50,2
InN SST HS3ST5,Lake et al.science.ex6,8.0,11.76470588235294,9.523809523809526,5.0,4,50,34,Purkinje neurons,10.0,8.47457627118644,9.174311926605505,4.807692307692308,5,50,59,Pyramidal cells,4.0,5.714285714285714,4.7058823529411775,2.4096385542168677,2,50,35
InN SST FREM1,Oligodendrocyte precursor cell,6.0,23.076923076923077,9.523809523809524,5.0,3,50,13,Purkinje neurons,8.0,6.779661016949152,7.339449541284404,3.8095238095238098,4,50,59,Oligodendrocyte,14.000000000000002,3.825136612021858,6.008583690987125,3.0973451327433628,7,50,183
