Cluster_ID (Leiden),Consensus_Cell_Type,Total_Cells_in_Group,Matching_Individual_Predictions,Cluster_Annotation_Score_CAS (%)
0,Oligo MOG OPALIN,230,216,93.91304347826087
41,Oligo MOG OPALIN,36,33,91.66666666666667
42,PC P2RY14 GRM8,32,29,90.625
14,Endo CLDN5 SLC7A5,103,92,89.32038834951456
6,Oligo MOG OPALIN,146,129,88.35616438356165
28,Endo CLDN5 SLC7A5,57,50,87.71929824561404
3,Micro P2RY12 APBB1IP,168,143,85.11904761904762
1,Endo CLDN5 SLC7A5,201,170,84.57711442786069
25,Endo CLDN5 SLC7A5,63,53,84.12698412698413
22,Endo CLDN5 SLC7A5,69,58,84.05797101449275
38,Endo CLDN5 SLC7A5,41,34,82.92682926829268
30,Endo CLDN5 SLC7A5,55,45,81.81818181818181
4,Endo CLDN5 SLC7A5,162,131,80.8641975308642
8,Endo CLDN5 SLC7A5,145,116,80.0
27,Endo CLDN5 SLC7A5,59,47,79.66101694915254
13,OPC PDGFRA PCDH15,104,82,78.84615384615384
9,Endo CLDN5 SLC7A5,145,114,78.62068965517241
16,Endo CLDN5 SLC7A5,100,78,78.0
33,Endo CLDN5 SLC7A5,48,37,77.08333333333333
21,L6 OPRK1 THEMIS RGS6,71,54,76.05633802816901
10,Endo CLDN5 SLC7A5,137,104,75.91240875912409
20,Endo CLDN5 SLC7A5,77,58,75.32467532467533
17,Endo CLDN5 SLC7A5,97,73,75.25773195876289
23,Endo CLDN5 SLC7A5,66,48,72.72727272727273
12,Endo CLDN5 SLC7A5,109,79,72.4770642201835
19,Endo CLDN5 SLC7A5,89,64,71.91011235955057
48,Endo CLDN5 SLC7A5,14,10,71.42857142857143
43,Endo CLDN5 SLC7A5,30,21,70.0
15,Endo CLDN5 SLC7A5,101,70,69.3069306930693
35,Endo CLDN5 SLC7A5,44,30,68.18181818181819
40,Endo CLDN5 SLC7A5,40,27,67.5
32,Endo CLDN5 SLC7A5,51,33,64.70588235294117
18,Endo CLDN5 SLC7A5,91,58,63.73626373626374
45,Endo CLDN5 SLC7A5,23,14,60.869565217391305
24,Endo CLDN5 SLC7A5,66,36,54.54545454545455
29,PC P2RY14 GRM8,57,31,54.3859649122807
37,Endo CLDN5 SLC7A5,42,22,52.38095238095238
2,Astro AQP4 SLC1A2,184,94,51.08695652173913
44,Endo CLDN5 SLC7A5,28,14,50.0
7,L3-5 RORB MKX GRIN3A,146,63,43.15068493150685
39,InN LAMP5 BMP7,41,17,41.46341463414634
46,L3-5 RORB PCBP3 IL1RAPL2,19,7,36.8421052631579
36,L3-5 RORB GABRG1 KCNH7,44,16,36.36363636363637
26,InN PVALB HPSE,62,22,35.483870967741936
47,L5-6 FEZF2 NXPH2 GRIK1,17,6,35.294117647058826
5,L2-3 CUX2 ACVR1C THSD7A,147,51,34.69387755102041
34,L6 FEZF2 NPFFR2 KCNK2,47,14,29.78723404255319
11,InN SST FREM1,113,24,21.238938053097346
31,InN VIP HS3ST3B1,53,7,13.20754716981132
