,ctpt_consensus_prediction,Cluster_ID,Marker_Match_1,Marker_Match_1_F1 (%),Marker_Match_2,Marker_Match_2_F1 (%),Marker_Match_3,Marker_Match_3_F1 (%)
0,Endo CLDN5 SLC7A5,Endo CLDN5 SLC7A5,Neuron,12.556053811659194,Excitatory neuron,11.76470588235294,Neuroendocrine cells,7.792207792207792
1,SMC ACTA2 CNN1,SMC ACTA2 CNN1,Neural stem cell,8.0,Smooth muscle cell,7.547169811320755,Mesenchymal stromal cell,7.017543859649124
2,L2-3 CUX2 ACVR1C THSD7A,L2-3 CUX2 ACVR1C THSD7A,Pyramidal cells,4.7058823529411775,Glutamatergic neuron,3.7037037037037033,Lake et al.science.ex1,3.125
3,Endo CLDN5 SLC7A5,Endo CLDN5 SLC7A5,Neuron,12.556053811659194,Excitatory neuron,11.76470588235294,Neuroendocrine cells,7.792207792207792
4,Endo CLDN5 SLC7A5,Endo CLDN5 SLC7A5,Neuron,12.556053811659194,Excitatory neuron,11.76470588235294,Neuroendocrine cells,7.792207792207792
5,InN SST HS3ST5,InN SST HS3ST5,Purkinje neurons,9.174311926605505,Lake et al.science.ex6,7.1428571428571415,Neuron,5.381165919282512
6,L6 FEZF2 SYT6 PTPRT,L6 FEZF2 SYT6 PTPRT,Glutamatergic neuron,3.7037037037037033,Somatostatin interneuron,3.6363636363636362,Neuron,3.587443946188341
7,Endo CLDN5 SLC7A5,Endo CLDN5 SLC7A5,Neuron,12.556053811659194,Excitatory neuron,11.76470588235294,Neuroendocrine cells,7.792207792207792
8,Endo CLDN5 SLC7A5,Endo CLDN5 SLC7A5,Neuron,12.556053811659194,Excitatory neuron,11.76470588235294,Neuroendocrine cells,7.792207792207792
9,InN SST HS3ST5,InN SST HS3ST5,Purkinje neurons,9.174311926605505,Lake et al.science.ex6,7.1428571428571415,Neuron,5.381165919282512
10,Oligo MOG OPALIN,Oligo MOG OPALIN,Oligodendrocytes,14.492753623188406,Oligodendrocyte,12.01716738197425,Mature oligodendrocyte,7.2727272727272725
11,Endo CLDN5 SLC7A5,Endo CLDN5 SLC7A5,Neuron,12.556053811659194,Excitatory neuron,11.76470588235294,Neuroendocrine cells,7.792207792207792
12,L2-3 CUX2 NTNG1 PALMD,L2-3 CUX2 NTNG1 PALMD,Excitatory neuron,5.88235294117647,Cajal-retzius cells,4.687500000000001,Interneurons,4.49438202247191
13,L6 FEZF2 SYT6 PTPRT,L6 FEZF2 SYT6 PTPRT,Glutamatergic neuron,3.7037037037037033,Somatostatin interneuron,3.6363636363636362,Neuron,3.587443946188341
14,Endo CLDN5 SLC7A5,Endo CLDN5 SLC7A5,Neuron,12.556053811659194,Excitatory neuron,11.76470588235294,Neuroendocrine cells,7.792207792207792
15,Endo CLDN5 SLC7A5,Endo CLDN5 SLC7A5,Neuron,12.556053811659194,Excitatory neuron,11.76470588235294,Neuroendocrine cells,7.792207792207792
16,Endo CLDN5 SLC7A5,Endo CLDN5 SLC7A5,Neuron,12.556053811659194,Excitatory neuron,11.76470588235294,Neuroendocrine cells,7.792207792207792
17,Oligo MOG OPALIN,Oligo MOG OPALIN,Oligodendrocytes,14.492753623188406,Oligodendrocyte,12.01716738197425,Mature oligodendrocyte,7.2727272727272725
18,Endo CLDN5 SLC7A5,Endo CLDN5 SLC7A5,Neuron,12.556053811659194,Excitatory neuron,11.76470588235294,Neuroendocrine cells,7.792207792207792
19,Endo CLDN5 SLC7A5,Endo CLDN5 SLC7A5,Neuron,12.556053811659194,Excitatory neuron,11.76470588235294,Neuroendocrine cells,7.792207792207792
20,Astro AQP4 SLC1A2,Astro AQP4 SLC1A2,Astrocytes,8.849557522123893,Bergmann glia,8.791208791208794,Astrocyte,8.494208494208493
21,Astro AQP4 SLC1A2,Astro AQP4 SLC1A2,Astrocytes,8.849557522123893,Bergmann glia,8.791208791208794,Astrocyte,8.494208494208493
22,Endo CLDN5 SLC7A5,Endo CLDN5 SLC7A5,Neuron,12.556053811659194,Excitatory neuron,11.76470588235294,Neuroendocrine cells,7.792207792207792
23,Oligo MOG OPALIN,Oligo MOG OPALIN,Oligodendrocytes,14.492753623188406,Oligodendrocyte,12.01716738197425,Mature oligodendrocyte,7.2727272727272725
24,Astro AQP4 SLC1A2,Astro AQP4 SLC1A2,Astrocytes,8.849557522123893,Bergmann glia,8.791208791208794,Astrocyte,8.494208494208493
25,Oligo MOG OPALIN,Oligo MOG OPALIN,Oligodendrocytes,14.492753623188406,Oligodendrocyte,12.01716738197425,Mature oligodendrocyte,7.2727272727272725
26,Astro GFAP AQP1,Astro GFAP AQP1,Astrocyte,10.038610038610038,Stem cell,8.21917808219178,Satellite glial cells,8.108108108108109
27,Endo CLDN5 SLC7A5,Endo CLDN5 SLC7A5,Neuron,12.556053811659194,Excitatory neuron,11.76470588235294,Neuroendocrine cells,7.792207792207792
28,InN LAMP5 BMP7,InN LAMP5 BMP7,Purkinje neurons,9.174311926605505,Inhibitory neuron,7.142857142857142,Interneuron,7.017543859649124
29,PC P2RY14 GRM8,PC P2RY14 GRM8,Pericyte,8.695652173913043,Mural cell,7.017543859649124,Endothelial cell,5.128205128205128
30,Endo CLDN5 SLC7A5,Endo CLDN5 SLC7A5,Neuron,12.556053811659194,Excitatory neuron,11.76470588235294,Neuroendocrine cells,7.792207792207792
31,L2-3 CUX2 ACVR1C THSD7A,L2-3 CUX2 ACVR1C THSD7A,Pyramidal cells,4.7058823529411775,Glutamatergic neuron,3.7037037037037033,Lake et al.science.ex1,3.125
32,Oligo MOG OPALIN,Oligo MOG OPALIN,Oligodendrocytes,14.492753623188406,Oligodendrocyte,12.01716738197425,Mature oligodendrocyte,7.2727272727272725
33,Endo CLDN5 SLC7A5,Endo CLDN5 SLC7A5,Neuron,12.556053811659194,Excitatory neuron,11.76470588235294,Neuroendocrine cells,7.792207792207792
34,Endo CLDN5 SLC7A5,Endo CLDN5 SLC7A5,Neuron,12.556053811659194,Excitatory neuron,11.76470588235294,Neuroendocrine cells,7.792207792207792
35,Oligo MOG OPALIN,Oligo MOG OPALIN,Oligodendrocytes,14.492753623188406,Oligodendrocyte,12.01716738197425,Mature oligodendrocyte,7.2727272727272725
36,Endo CLDN5 SLC7A5,Endo CLDN5 SLC7A5,Neuron,12.556053811659194,Excitatory neuron,11.76470588235294,Neuroendocrine cells,7.792207792207792
37,Oligo MOG OPALIN,Oligo MOG OPALIN,Oligodendrocytes,14.492753623188406,Oligodendrocyte,12.01716738197425,Mature oligodendrocyte,7.2727272727272725
38,Endo CLDN5 SLC7A5,Endo CLDN5 SLC7A5,Neuron,12.556053811659194,Excitatory neuron,11.76470588235294,Neuroendocrine cells,7.792207792207792
39,Micro P2RY12 APBB1IP,Micro P2RY12 APBB1IP,Microglia,11.570247933884298,Microglial-specific cell,7.6923076923076925,Homeostatic microglial cell,7.142857142857142
40,Endo CLDN5 SLC7A5,Endo CLDN5 SLC7A5,Neuron,12.556053811659194,Excitatory neuron,11.76470588235294,Neuroendocrine cells,7.792207792207792
41,L6 FEZF2 SYT6 PTPRT,L6 FEZF2 SYT6 PTPRT,Glutamatergic neuron,3.7037037037037033,Somatostatin interneuron,3.6363636363636362,Neuron,3.587443946188341
42,Oligo MOG OPALIN,Oligo MOG OPALIN,Oligodendrocytes,14.492753623188406,Oligodendrocyte,12.01716738197425,Mature oligodendrocyte,7.2727272727272725
43,Endo CLDN5 SLC7A5,Endo CLDN5 SLC7A5,Neuron,12.556053811659194,Excitatory neuron,11.76470588235294,Neuroendocrine cells,7.792207792207792
44,Endo CLDN5 SLC7A5,Endo CLDN5 SLC7A5,Neuron,12.556053811659194,Excitatory neuron,11.76470588235294,Neuroendocrine cells,7.792207792207792
45,Oligo MOG OPALIN,Oligo MOG OPALIN,Oligodendrocytes,14.492753623188406,Oligodendrocyte,12.01716738197425,Mature oligodendrocyte,7.2727272727272725
46,Endo CLDN5 SLC7A5,Endo CLDN5 SLC7A5,Neuron,12.556053811659194,Excitatory neuron,11.76470588235294,Neuroendocrine cells,7.792207792207792
47,Endo CLDN5 SLC7A5,Endo CLDN5 SLC7A5,Neuron,12.556053811659194,Excitatory neuron,11.76470588235294,Neuroendocrine cells,7.792207792207792
