Cell_Type,MCS,Top_50_Markers
Endo CLDN5 SLC7A5,0.6997634408602151,"SNAP25, NRGN, CALM1, MAP1B, CHN1, VSNL1, SYT1, UCHL1, HSP90AB1, CALM3, CALM2, TUBA1B, GNAS, RTN1, DNM1, SPARCL1, OLFM1, ATP6V0C, PEBP1, THY1, FTH1, CCK, NEFL, STMN2, IDS, ENO2, CKB, TMSB10, YWHAH, GAPDH, HSP90AA1, STXBP1, ATP1A1, ATP1B1, YWHAG, NDUFA4, STMN1, ENC1, BEX1, LMO4, FAIM2, VAMP2, SYP, SLC17A7, DYNLL1, RTN3, ARPP19, TSC22D1, CLSTN1, SERPINI1"
Oligo MOG OPALIN,0.8915204678362572,"CTNNA3, FRMD4B, RNF220, ST18, MBP, PLEKHH1, PCDH9, QKI, FRMD5, SLC44A1, SLC24A2, DOCK10, IL1RAPL1, NCKAP5, PDE4B, SLCO3A1, PLP1, C10orf90, PIP4K2A, DOCK5, ENPP2, EDIL3, CREB5, AGAP1, ELMO1, KCNH8, BCAS1, PDE8A, MAP7, PPP2R2B, MOBP, PXK, FA2H, TMTC2, ANK3, CNDP1, FMNL2, TF, SHTN1, ZNF536, CERCAM, DLG2, SIK3, PHLPP1, PCSK6, CDK18, TMEM144, POLR2F, PRUNE2, CLMN"
Astro AQP4 SLC1A2,0.7794666666666668,"SLC1A2, RORA, GPC5, MACF1, NTM, SYNE1, CTNNA2, SLC1A3, MSI2, ADGRV1, LSAMP, PITPNC1, DST, OBI1-AS1, GPM6A, PAMR1, TRPM3, LINC00299, RYR3, ZNF98, NPAS3, CTNND2, SFXN5, NRXN1, DTNA, ABLIM1, MIR9-1HG, LRP1B, ATP1A2, NKAIN3, HPSE2, MMD2, ENSG00000286757, CLU, PTGDS, CDH20, WWOX, TNIK, SLC4A4, LINC03051, SORBS1, ZNRF3, NRG3, PRDM16, TENM2, COL5A3, ACOT11, SASH1, CABLES1, ACSBG1"
Micro P2RY12 APBB1IP,0.8549019607843137,"PLXDC2, SFMBT2, LRMDA, FRMD4A, APBB1IP, ITPR2, FOXN3, SYNDIG1, ST6GAL1, DOCK8, MEF2A, DOCK4, TBXAS1, SRGAP2, CHST11, C3, DLEU1, KCNQ3, INPP5D, SORL1, ST6GALNAC3, LDLRAD4, ABCC4, ATP8B4, ADAM28, PALD1, ENSG00000249738, CYFIP1, P2RY12, DISC1, LPAR6, ARHGAP24, CSF1R, ANKRD44, EPB41L2, IPCEF1, CX3CR1, TBC1D22A, CYRIB, AOAH, FCHSD2, LRRK1, DOCK2, CSF2RA, AKAP13, SLCO2B1, ZFHX3, DIAPH2, RUNX1, SAT1"
L2-3 CUX2 NTNG1 PALMD,0.8469444444444444,"KCNIP4, LRRTM4, KCNQ5, CSMD1, LINGO2, CCSER1, CDH18, RBFOX1, STXBP5L, DLGAP2, HS6ST3, DGKB, OPCML, RALYL, LRFN5, CHRM3, ATRNL1, R3HDM1, ROBO2, FGF14, CADPS, ASIC2, AGBL4, CACNA2D3, SHISA9, RGS6, ADGRL2, CAMK2A, ICA1L, UNC5D, UNC80, PDE4D, PPP3CA, KCNH1, FAT3, OLFM3, ENSG00000229618, NEGR1, DCLK1, DLGAP1, KHDRBS2, ZNF385B, MIAT, GALNT17, RGS7, TMEM132D, CRACDL, KCNH7, FLRT2, FSTL4"
InN SST HS3ST5,0.9422535211267605,"RBFOX1, DLGAP1, KIAA1217, GRIP1, GRIK1, XKR4, NXPH1, KIF26B, KAZN, TENM3, SOX6, CNTNAP2, NRXN3, SNHG14, SRRM3, GRIK3, ROBO2, GAD1, DAB1, TIAM1, MALAT1, PTPRM, RBMS3, CACNA1A, AHI1, CADPS, ZNF385D, PTPRN2, TENM1, MIR124-1HG, GRIK2, GRIA1, GRIP2, SETBP1, CDH9, RPS6KA2, SLC24A3, CACNA1D, CRACD, ERC1, RASGRF2, MYRIP, ANK1, PACRG, KSR2, ENTREP2, MTUS2, DLGAP2, HCN1, ASTN2"
OPC PDGFRA PCDH15,0.8427999999999999,"LHFPL3, TNR, EPN2, PTPRZ1, XYLT1, DSCAM, SEZ6L, VCAN, PCDH15, LINC00511, CHST11, LRRC4C, MEGF11, DPP6, PDZD2, SEMA5A, NAV1, AGAP1, SOX6, SULF2, ADARB2, LUZP2, KIF13A, MYT1, PDGFRA, OPCML, KCNMB2, CSMD2, CSMD1, KAZN, ASTN2, FGFR1, HIP1R, COL20A1, TAOK3, CACNA1A, CACNG4, CA10, OPHN1, DISC1, GRID2, SPATA6, PLPPR1, GRIK4, LRP1, TNK2, DSCAML1, MMP16, DGKG, ENSG00000225096"
L2-3 CUX2 ACVR1C THSD7A,0.9630434782608696,"LRRTM4, KCNIP4, CSMD1, HS6ST3, DIRC3-AS1, ENSG00000250243, CBLN2, LINC02263, LINC01250, ENSG00000229618, ASIC2, MALAT1, ENSG00000233928, CUX2, TALAM1, R3HDM1, NDST3, DGKB, KCNQ5, FAM153CP, CNTNAP5, EPIC1, DGKI, KALRN, ENSG00000285939, GRIA4, ENSG00000258162, SHISA9, CELF2, RBFOX1, KCND2, SYN3, CDH9, CDH18, ENSG00000248343, ENSG00000228566, SNAP25-AS1, DLGAP2, ATRNL1, SATB2, ENSG00000225689, LDB2, ENSG00000285582, RGS6, LINC00507, STXBP5L, CDH12, LINGO2, MIR137HG, TAFA1"
Astro GFAP AQP1,0.8318181818181819,"DPP10, NTM, OBI1-AS1, ADGRV1, SORBS1, NKAIN3, PITPNC1, ABLIM1, CTNNA2, GFAP, CTNND2, NPAS3, MACF1, MMD2, GPC5, RFX4, SLC1A2, TRPM3, RORA, MSI2, PRKCA, LSAMP, NRG3, TNIK, MIR9-1HG, LINC00299, GLIS3, PTGDS, DST, RYR3, ENSG00000286757, ENSG00000284977, DTNA, CDH20, GPM6A, DCLK2, AMZ2, ITPKB, SPON1, ACOT11, ARHGEF4, NFIA, KCNN3, FBXL7, ATP1A2, SLC1A3, PRKG1, ENSG00000271860, FMN2, CAMK2G"
InN LAMP5 BMP7,0.9499999999999998,"DLX6-AS1, KAZN, ERBB4, ADARB2, FGF14, DAB1, GRIP1, GRIK2, ZNF385D, MTUS2, SNHG14, GAD1, C8orf34, EGFR, SRRM4, CNTNAP2, RGS12, ANKRD30BL, CXCL14, MACROD2, CCSER1, GABRG3, NYAP2, HIVEP3, GRIA1, KCNIP1, CRACD, MYRIP, GAD2, CACNA1B, ROBO2, SLC24A3, SDK1, SYNPR, MIR124-1HG, DNER, CSMD3, ENTREP2, ATP8A2, ZNF536, KSR2, PWRN1, LINGO2, SLC8A3, ARL4C, LINC00461, DSCAM, THSD7A, TXNDC16, SH3RF3"
