Cluster_ID (Leiden),Consensus_Cell_Type,Total_Cells_in_Group,Matching_Individual_Predictions,Cluster_Annotation_Score_CAS (%)
22,PC P2RY14 GRM8,48,46,95.83333333333333
10,Oligo MOG OPALIN,112,107,95.53571428571429
12,Astro AQP4 SLC1A2,104,97,93.26923076923077
5,Oligo MOG OPALIN,169,157,92.89940828402366
7,Oligo MOG OPALIN,149,138,92.61744966442953
25,L6 OPRK1 THEMIS RGS6,43,39,90.69767441860465
30,T SKAP1 CD247,10,9,90.0
16,OPC PDGFRA PCDH15,70,63,90.0
29,Endo CLDN5 SLC7A5,30,27,90.0
8,Endo CLDN5 SLC7A5,142,124,87.32394366197182
2,Oligo MOG OPALIN,195,169,86.66666666666667
1,Oligo MOG OPALIN,254,205,80.70866141732283
13,Endo CLDN5 SLC7A5,96,77,80.20833333333333
27,Endo CLDN5 SLC7A5,37,29,78.37837837837837
9,Endo CLDN5 SLC7A5,118,90,76.27118644067797
15,Endo CLDN5 SLC7A5,83,63,75.90361445783132
3,Oligo MOG OPALIN,189,140,74.07407407407408
20,Astro GFAP FABP7,50,36,72.0
28,Endo CLDN5 SLC7A5,34,24,70.58823529411765
11,Oligo MOG OPALIN,105,68,64.76190476190476
0,Endo CLDN5 SLC7A5,295,188,63.728813559322035
14,Micro P2RY12 APBB1IP,84,53,63.095238095238095
4,Oligo MOG OPALIN,175,103,58.857142857142854
6,Endo CLDN5 SLC7A5,167,77,46.10778443113772
21,Astro GFAP AQP1,48,20,41.666666666666664
17,L2-3 CUX2 NTNG1 PALMD,65,21,32.30769230769231
24,L6 FEZF2 SYT6 PTPRT,43,13,30.232558139534884
19,Endo CLDN5 SLC7A5,55,15,27.272727272727273
23,Endo CLDN5 SLC7A5,46,11,23.91304347826087
26,L3-5 RORB MKX DCC,38,9,23.68421052631579
18,InN SST ADAMTSL1,64,7,10.9375
