integrated_label,best_celltype,best_f1_score,name_hit,total_cells,cas_score_pct,mean_confidence_pct
Endo CLDN5 SLC7A5,Excitatory neuron,0.14705882352941177,,22478,69.89500845270932,74.57779957881537
Oligo MOG OPALIN,Oligodendrocytes,0.13043478260869565,,11113,82.24601817690993,87.95022307987395
Astro AQP4 SLC1A2,Astrocyte,0.09266409266409266,,3127,73.16917173009274,83.76850964828937
OPC PDGFRA PCDH15,Oligodendrocyte precursor cell,0.2222222222222222,,2109,98.90943575154103,99.34194920437484
L2-3 CUX2 ACVR1C THSD7A,Lake et al.science.ex1,0.03125,,1704,65.90375586854461,78.68364457344856
Micro P2RY12 APBB1IP,Microglia,0.09917355371900827,,1658,70.32569360675512,85.41784469096481
InN SST FREM1,Purkinje neurons,0.07339449541284404,,1458,15.020576131687244,79.84615177378578
PC P2RY14 GRM8,Pericyte,0.08695652173913043,,1331,91.20961682945155,95.35600067878931
Astro GFAP FABP7,Astrocyte,0.08494208494208492,,1016,55.70866141732284,92.54140657915528
L3-5 RORB MKX GRIN3A,Lake et al.science.ex5,0.06779661016949154,,973,45.11819116135663,82.31426812501363
InN PVALB HPSE,Inhibitory neuron,0.07142857142857142,,956,22.07112970711297,70.84283997578784
Oligo MOG GSN,Oligodendrocytes,0.13043478260869565,,926,53.67170626349892,94.73901135993982
InN VIP EXPH5,Purkinje neurons,0.07339449541284404,,704,24.005681818181817,85.12340848664043
L3-5 RORB GABRG1 KCNH7,Lake et al.science.in5,0.03508771929824562,,482,40.04149377593361,59.54228257261761
L6 FEZF2 SYT6 PTPRT,Lake et al.science.ex6,0.19047619047619052,,466,23.819742489270386,73.41147045232292
L2-4 CUX2 RORB CLMN,Lake et al.science.ex2,0.06666666666666667,,450,44.44444444444444,68.85313979299687
L6 OPRK1 THEMIS RGS6,Lake et al.science.ex8,0.05504587155963303,,432,79.39814814814815,86.44052897138765
InN LAMP5 BMP7,Lake et al.science.ex3,0.07407407407407407,,425,48.0,88.27150579953164
InN LAMP5 RELN,Inhibitory neuron,0.07142857142857142,,380,22.63157894736842,89.67219642739714
SMC ACTA2 CNN1,Smooth muscle cell,0.07547169811320754,,209,82.29665071770334,87.8630778244761
VLMC COL1A2 VLMCA8,Meningeal cells,0.058823529411764705,,156,66.66666666666666,86.09367031249971
L5-6 FEZF2 NXPH2 CDH8,Lake et al.science.ex6,0.21428571428571427,,143,40.55944055944056,73.18128499989878
T SKAP1 CD247,Lymphocyte,0.06666666666666667,,106,96.22641509433963,97.66958461771658
