gene,weight
A1BG,1.0
A1BG-AS1,1.0
A2M,1.0
A2M-AS1,1.0
A2ML1,1.0
A2ML1-AS1,1.0
AAAS,1.0
AADACL2-AS1,1.0
AADAT,1.0
AAGAB,1.0
AAMDC,1.0
AAMP,1.0
AAR2,1.0
AARD,1.0
AARS1,1.0
AARS2,1.0
AARSD1,1.0
AASDH,1.0
AASDHPPT,1.0
AASS,1.0
AATF,1.0
AATK,1.0
ABCA1,1.0
ABCA10,1.0
ABCA12,1.0
ABCA2,1.0
ABCA4,1.0
ABCA6,1.0
ABCA7,1.0
ABCA8,1.0
ABCA9,1.0
ABCA9-AS1,1.0
ABCB1,1.0
ABCB10,1.0
ABCB11,1.0
ABCB4,1.0
ABCB6,1.0
ABCB7,1.0
ABCB8,1.0
ABCC1,1.0
ABCC10,1.0
ABCC11,1.0
ABCC2,1.0
ABCC3,1.0
ABCC4,1.0
ABCC8,1.0
ABCC9,1.0
ABCD1,1.0
ABCD2,1.0
ABCD3,1.0
ABCD4,1.0
ABCE1,1.0
ABCF1,1.0
ABCF2,1.0
ABCF3,1.0
ABCG1,1.0
ABCG2,1.0
ABCG4,1.0
ABCG5,1.0
ABCG8,1.0
ABHD1,1.0
ABHD10,1.0
ABHD11,1.0
ABHD12B,1.0
ABHD13,1.0
ABHD14A,1.0
ABHD14B,1.0
ABHD15,1.0
ABHD15-AS1,1.0
ABHD16A,1.0
ABHD17A,1.0
ABHD17B,1.0
ABHD17C,1.0
ABHD3,1.0
ABHD4,1.0
ABHD5,1.0
ABI3,1.0
ABI3BP,1.0
ABITRAM,1.0
ABL1,1.0
ABLIM1,1.0
ABO,1.0
ABR,1.0
ABRACL,1.0
ABRAXAS1,1.0
ABRAXAS2,1.0
ABT1,1.0
ABTB1,1.0
ABTB2,1.0
ABTB3,1.0
ACAA1,1.0
ACAA2,1.0
ACACB,1.0
ACAD10,1.0
ACAD8,1.0
ACAD9-DT,1.0
ACADL,1.0
ACADS,1.0
ACADVL,1.0
ACAP1,1.0
ACAT2,1.0
ACBD4,1.0
ACBD5,1.0
ACBD7,1.0
ACCS,1.0
ACD,1.0
ACE,1.0
ACER2,1.0
ACHE,1.0
ACIN1,1.0
ACKR1,1.0
ACKR2,1.0
ACKR3,1.0
ACKR4,1.0
ACLY,1.0
ACMSD,1.0
ACO2,1.0
ACOT11,1.0
ACOT13,1.0
ACOT2,1.0
ACOT7,1.0
ACOT8,1.0
ACOT9,1.0
ACOX1,1.0
ACOX2,1.0
ACOXL,1.0
ACP1,1.0
ACP2,1.0
ACP3,1.0
ACP6,1.0
ACP7,1.0
ACRV1,1.0
ACSBG1,1.0
ACSBG2,1.0
ACSF2,1.0
ACSF3,1.0
ACSL1,1.0
ACSL5,1.0
ACSL6,1.0
ACSM4,1.0
ACSM5,1.0
ACSM6,1.0
ACSS1,1.0
ACSS2,1.0
ACSS3,1.0
ACTA1,1.0
ACTA2,1.0
ACTB,1.0
ACTC1,1.0
ACTG1,1.0
ACTL6A,1.0
ACTL6B,1.0
ACTMAP,1.0
ACTN2,1.0
ACTN4,1.0
ACTR10,1.0
ACTR1A,1.0
ACTR3,1.0
ACTR3-AS1,1.0
ACTR3C,1.0
ACTR5,1.0
ACTR6,1.0
ACTR8,1.0
ACVR1,1.0
ACVR1C,1.0
ACVR2A,1.0
ACVR2B,1.0
ACY1,1.0
ACYP1,1.0
ADA,1.0
ADA2,1.0
ADAL,1.0
ADAM10,1.0
ADAM12,1.0
ADAM15,1.0
ADAM20,1.0
ADAM20P1,1.0
ADAM21,1.0
ADAM28,1.0
ADAM29,1.0
ADAM32,1.0
ADAM33,1.0
ADAM7-AS1,1.0
ADAM8,1.0
ADAM9,1.0
ADAMTS1,1.0
ADAMTS10,1.0
ADAMTS12,1.0
ADAMTS13,1.0
ADAMTS14,1.0
ADAMTS16,1.0
ADAMTS16-DT,1.0
ADAMTS17,1.0
ADAMTS18,1.0
ADAMTS19,1.0
ADAMTS19-AS1,1.0
ADAMTS2,1.0
ADAMTS20,1.0
ADAMTS3,1.0
ADAMTS4,1.0
ADAMTS5,1.0
ADAMTS6,1.0
ADAMTS7,1.0
ADAMTS8,1.0
ADAMTS9,1.0
ADAMTS9-AS2,1.0
ADAMTSL1,1.0
ADAMTSL2,1.0
ADAMTSL3,1.0
ADAMTSL4,1.0
ADAMTSL4-AS2,1.0
ADAP1,1.0
ADAP2,1.0
ADARB1,1.0
ADARB2,1.0
ADARB2-AS1,1.0
ADAT1,1.0
ADCK1,1.0
ADCK2,1.0
ADCK5,1.0
ADCY10,1.0
ADCY10P1,1.0
ADCY2,1.0
ADCY6,1.0
ADCY7,1.0
ADCY8,1.0
ADCY9,1.0
ADCYAP1,1.0
ADCYAP1R1,1.0
ADD3,1.0
ADD3-AS1,1.0
ADGRA1,1.0
ADGRA1-AS1,1.0
ADGRA2,1.0
ADGRA3,1.0
