ctpt_consensus_prediction,WT,Treated
093 RT-ZI Gnb3 Gaba,4.05785718960665,1.4630454889430757
101 ZI Pax6 Gaba,4.4112834609594875,19.961321785924493
110 BST-po Iigp1 Glut,0.0785391714117416,0.386782140755066
133 PVH-SO-PVa Otp Glut,0.0,0.5633565963171614
135 STN-PSTN Pitx2 Glut,2.225276523332679,5.94467333725721
145 MH Tac2 Glut,3.023758099352052,2.270243000084083
146 LH Pou4f1 Sox1 Glut,1.0537338831075331,2.3038762297149584
147 AD Serpinb7 Glut,0.9359251259899208,0.36155721853190953
148 AV Col27a1 Glut,2.5001636232737745,2.177751618599176
149 PVT-PT Ntrk1 Glut,1.4529746711172198,1.0846716555957285
150 CM-IAD-CL-PCN Sema5b Glut,7.775377969762419,5.129067518708484
151 TH Prkcd Grin2c Glut,27.724327508344786,12.772218952324895
152 RE-Xi Nox4 Glut,2.4019896590090974,4.027579248297318
154 PF Fzd5 Glut,1.6035080829897246,2.5729420667619607
213 SCsg Gabrr2 Gaba,0.17016820472544014,0.008408307407718826
215 SNc-VTA-RAmb Foxa1 Dopa,0.0,0.31951568149331544
318 Astro-NT NN,7.245238562733163,9.694778441099807
323 Ependymal NN,0.032724654754892335,0.05885815185403178
326 OPC NN,2.382354866156162,2.329101151938115
327 Oligo NN,27.305451927482167,22.79492138232574
330 VLMC NN,0.0785391714117416,0.033633229630875304
331 Peri NN,0.1374435499705478,0.15134953333893886
333 Endo NN,0.3337914784999019,0.13453291852350122
334 Microglia NN,3.069572616008901,3.4558143445724374
