Consensus_Cell_Type,Total_Cells_in_Group,Matching_Individual_Predictions,Cluster_Annotation_Score_CAS (%)
323 Ependymal NN,12,12,100.0
330 VLMC NN,16,16,100.0
213 SCsg Gabrr2 Gaba,27,26,96.29629629629629
149 PVT-PT Ntrk1 Glut,351,335,95.44159544159544
327 Oligo NN,6883,6539,95.0021792822897
145 MH Tac2 Glut,732,695,94.94535519125684
331 Peri NN,39,37,94.87179487179488
154 PF Fzd5 Glut,551,516,93.64791288566244
133 PVH-SO-PVa Otp Glut,67,62,92.53731343283582
093 RT-ZI Gnb3 Gaba,794,732,92.19143576826197
147 AD Serpinb7 Glut,186,171,91.93548387096774
326 OPC NN,641,554,86.42745709828394
334 Microglia NN,880,738,83.86363636363636
333 Endo NN,67,56,83.58208955223881
318 Astro-NT NN,2260,1860,82.30088495575221
110 BST-po Iigp1 Glut,58,40,68.96551724137932
215 SNc-VTA-RAmb Foxa1 Dopa,38,26,68.42105263157895
151 TH Prkcd Grin2c Glut,5755,3554,61.75499565595135
152 RE-Xi Nox4 Glut,846,493,58.274231678487
148 AV Col27a1 Glut,641,362,56.47425897035881
150 CM-IAD-CL-PCN Sema5b Glut,1798,965,53.670745272525025
146 LH Pou4f1 Sox1 Glut,435,232,53.333333333333336
101 ZI Pax6 Gaba,3048,560,18.37270341207349
135 STN-PSTN Pitx2 Glut,1047,124,11.843361986628462
