Cluster_ID (Leiden),Consensus_Cell_Type,Total_Cells_in_Group,Matching_Individual_Predictions,Cluster_Annotation_Score_CAS (%)
46,323 Ependymal NN,12,12,100.0
45,330 VLMC NN,16,16,100.0
43,327 Oligo NN,35,35,100.0
3,327 Oligo NN,1723,1719,99.76784677887406
1,327 Oligo NN,2441,2429,99.50839819746005
18,145 MH Tac2 Glut,505,502,99.4059405940594
27,327 Oligo NN,254,252,99.21259842519684
14,334 Microglia NN,689,680,98.69375907111757
44,213 SCsg Gabrr2 Gaba,27,26,96.29629629629629
7,151 TH Prkcd Grin2c Glut,1047,1005,95.98853868194843
4,327 Oligo NN,1517,1456,95.9789057350033
8,151 TH Prkcd Grin2c Glut,999,957,95.7957957957958
25,149 PVT-PT Ntrk1 Glut,351,335,95.44159544159544
41,331 Peri NN,39,37,94.87179487179488
31,145 MH Tac2 Glut,159,150,94.33962264150944
39,327 Oligo NN,50,47,94.0
17,154 PF Fzd5 Glut,551,516,93.64791288566244
13,093 RT-ZI Gnb3 Gaba,745,695,93.28859060402685
36,133 PVH-SO-PVa Otp Glut,67,62,92.53731343283582
16,326 OPC NN,553,510,92.2242314647378
30,147 AD Serpinb7 Glut,186,171,91.93548387096774
2,318 Astro-NT NN,2018,1805,89.44499504459861
20,151 TH Prkcd Grin2c Glut,502,443,88.24701195219123
37,333 Endo NN,67,56,83.58208955223881
22,327 Oligo NN,454,376,82.81938325991189
12,151 TH Prkcd Grin2c Glut,782,612,78.26086956521739
40,093 RT-ZI Gnb3 Gaba,49,37,75.51020408163265
38,110 BST-po Iigp1 Glut,58,40,68.96551724137932
42,215 SNc-VTA-RAmb Foxa1 Dopa,38,26,68.42105263157895
35,145 MH Tac2 Glut,68,43,63.23529411764706
33,327 Oligo NN,128,77,60.15625
10,152 RE-Xi Nox4 Glut,846,493,58.274231678487
15,148 AV Col27a1 Glut,641,362,56.47425897035881
11,150 CM-IAD-CL-PCN Sema5b Glut,823,456,55.40704738760632
23,146 LH Pou4f1 Sox1 Glut,435,232,53.333333333333336
26,327 Oligo NN,281,148,52.669039145907476
9,150 CM-IAD-CL-PCN Sema5b Glut,975,509,52.205128205128204
34,326 OPC NN,88,44,50.0
19,151 TH Prkcd Grin2c Glut,505,195,38.613861386138616
21,101 ZI Pax6 Gaba,472,156,33.05084745762712
29,334 Microglia NN,191,58,30.36649214659686
24,151 TH Prkcd Grin2c Glut,395,114,28.860759493670887
32,151 TH Prkcd Grin2c Glut,136,31,22.794117647058822
28,318 Astro-NT NN,242,55,22.727272727272727
0,101 ZI Pax6 Gaba,2576,404,15.683229813664596
5,151 TH Prkcd Grin2c Glut,1389,197,14.182865370770338
6,135 STN-PSTN Pitx2 Glut,1047,124,11.843361986628462
