Cluster_ID,Assigned_Cell_Type,Marker_Capture_Score (%),Captured_Genes_Count,Total_Reference_Genes,Captured_Genes_List
1,Myeloid-derived suppressor cells,50.0,3,6,"S100A4, S100A8, S100A9"
17,T cytotoxic cells,50.0,3,6,"CD2, CD8A, TRAC"
20,Myeloid-derived suppressor cells,50.0,3,6,"S100A4, S100A8, S100A9"
9,Nuocytes,42.857142857142854,3,7,"BCL11B, IL7R, RORA"
5,Nuocytes,42.857142857142854,3,7,"BCL11B, IL7R, RORA"
8,Gamma delta T cells,42.10526315789473,16,38,"CD247, CD7, CLIC3, CST7, CTSW, FGFBP2, GNLY, GZMA, GZMB, HOPX, IFITM1, KLRD1, NKG7, PRF1, SPON2, TRDC"
27,B cells memory,34.78260869565217,8,23,"ADAM28, CD79A, CD79B, GNG7, IGHM, IGKC, MS4A1, RALGPS2"
13,B cells memory,34.78260869565217,8,23,"ADAM28, CD37, CD79A, CD79B, GNG7, IGHM, MS4A1, RALGPS2"
25,B cells memory,34.78260869565217,8,23,"ADAM28, CD37, CD79A, CD79B, GNG7, IGHM, MS4A1, RALGPS2"
2,B cells memory,34.78260869565217,8,23,"ADAM28, CD37, CD79A, CD79B, GNG7, IGHM, MS4A1, RALGPS2"
30,Gamma delta T cells,34.21052631578947,13,38,"CD247, CLIC3, CST7, FGFBP2, GNLY, GZMA, GZMB, HOPX, KLRD1, NKG7, PRF1, SPON2, TRDC"
16,Myeloid-derived suppressor cells,33.33333333333333,2,6,"S100A8, S100A9"
6,Myeloid-derived suppressor cells,33.33333333333333,2,6,"S100A8, S100A9"
24,Myeloid-derived suppressor cells,33.33333333333333,2,6,"S100A8, S100A9"
15,T cytotoxic cells,33.33333333333333,2,6,"CD2, TRAC"
26,Plasmacytoid dendritic cells,32.25806451612903,10,31,"BCL11A, DERL3, GZMB, IRF7, IRF8, ITM2C, JCHAIN, MZB1, SERPINF1, TCF4"
18,B cells memory,30.434782608695656,7,23,"ADAM28, CD37, CD79A, CD79B, GNG7, MS4A1, RALGPS2"
21,B cells memory,30.434782608695656,7,23,"CD37, CD79A, CD79B, GNG7, IGHM, MS4A1, RALGPS2"
28,Gamma delta T cells,28.947368421052634,11,38,"CD247, CD7, CTSW, GNLY, GZMA, HOPX, IFITM1, KLRD1, NKG7, PRF1, TRDC"
4,Nuocytes,28.57142857142857,2,7,"BCL11B, IL7R"
7,Nuocytes,28.57142857142857,2,7,"IL7R, RORA"
12,Dendritic cells,25.0,14,56,"AIF1, CLEC7A, FTL, HLA-DMA, HLA-DMB, HLA-DPA1, HLA-DPB1, HLA-DQB1, HLA-DRA, HLA-DRB1, HLA-DRB5, LGALS3, LST1, SERPINA1"
22,Eosinophils,25.0,1,4,CCL5
19,Eosinophils,25.0,1,4,CCL5
14,Eosinophils,25.0,1,4,CCL5
33,Gamma delta T cells,23.684210526315788,9,38,"GNLY, GZMB, HMGB2, MKI67, PCNA, PRF1, STMN1, TUBB, TYMS"
32,Dendritic cells,19.642857142857142,11,56,"C1ORF54, CADM1, HLA-DMA, HLA-DPA1, HLA-DPB1, HLA-DQA1, HLA-DQB1, HLA-DRA, HLA-DRB1, HLA-DRB5, IRF8"
10,T cytotoxic cells,16.666666666666664,1,6,CD8A
11,Myeloid-derived suppressor cells,16.666666666666664,1,6,FCGR3A
23,Dendritic cells,16.071428571428573,9,56,"HLA-DMA, HLA-DMB, HLA-DPA1, HLA-DPB1, HLA-DQA1, HLA-DQB1, HLA-DRA, HLA-DRB1, HLA-DRB5"
31,Plasmacytoid dendritic cells,12.903225806451612,4,31,"DERL3, ITM2C, JCHAIN, MZB1"
3,Monocytes,12.5,6,48,"CD14, CLEC7A, CSF3R, FCN1, MS4A6A, PSAP"
29,Plasmacytoid dendritic cells,6.451612903225806,2,31,"ETV6, ITM2C"
0,Plasmacytoid dendritic cells,3.225806451612903,1,31,PRKCA
