Consensus_Cell_Type,Total_Cells_in_Cluster,Matching_Individual_Predictions,Cluster_Annotation_Score_CAS (%)
CD4.Naive,2989,2031,67.9491468718635
CD14_mono,2860,2711,94.79020979020979
B_naive,1112,978,87.94964028776978
MAIT,596,441,73.99328859060402
CD8.Naive,580,431,74.3103448275862
NK_16hi,537,462,86.03351955307262
DC3,398,211,53.015075376884425
CD16_mono,356,314,88.20224719101124
CD8.EM,281,115,40.92526690391459
B_switched_memory,200,180,90.0
gdT,153,134,87.58169934640523
B_immature,148,116,78.37837837837837
Platelets,147,136,92.51700680272108
B_malignant,110,15,13.636363636363637
pDC,83,83,100.0
CD83_CD14_mono,82,17,20.73170731707317
NK_56hi,52,44,84.61538461538461
ILC2,39,12,30.76923076923077
Plasma_cell_IgA,16,11,68.75
DC1,15,15,100.0
NK_prolif,11,9,81.81818181818181
