Cell_Type,MCS
CD4.Naive,0.9568417530946804
CD14_mono,0.9993706293706293
B_naive,0.9886690647482015
MAIT,0.9661073825503355
CD8.Naive,0.8810344827586206
NK_16hi,0.990316573556797
DC3,0.9492462311557789
CD16_mono,0.995505617977528
CD8.EM,0.9238434163701067
B_switched_memory,0.982
gdT,0.918954248366013
B_immature,0.995945945945946
Platelets,0.9959183673469386
B_malignant,0.9799999999999999
pDC,1.0
CD83_CD14_mono,0.9853658536585366
NK_56hi,0.9807692307692308
ILC2,0.8564102564102564
Plasma_cell_IgA,1.0
DC1,1.0
NK_prolif,1.0
