Cell_Type,MCS,Top_5_Markers
CD4.Naive,0.9568417530946804,"INPP4B, BCL11B, CAMK4, LDHB, SERINC5"
CD14_mono,0.9993706293706293,"LYZ, S100A9, S100A8, FOS, MNDA"
B_naive,0.9886690647482015,"BANK1, AFF3, LINC00926, RALGPS2, CD79A"
MAIT,0.9661073825503355,"KLRB1, SLC4A10, PHACTR2, GZMK, NKG7"
CD8.Naive,0.8810344827586206,"CD8B, NELL2, THEMIS, CD8A, PDE3B"
NK_16hi,0.990316573556797,"GNLY, NKG7, PRF1, KLRF1, CD247"
DC3,0.9492462311557789,"CST3, CPVL, SLC8A1, LRMDA, CSF2RA"
CD16_mono,0.995505617977528,"TCF7L2, LST1, FCGR3A, PELATON, AIF1"
CD8.EM,0.9238434163701067,"CCL5, CST7, NKG7, SYNE1, SAMD3"
B_switched_memory,0.982,"OSBPL10, BLK, PDE4D, CDK14, EBF1"
gdT,0.918954248366013,"CCL5, TRDC, NKG7, A2M, KLRD1"
B_immature,0.995945945945946,"TCL1A, AFF3, IGHD, EBF1, PAX5"
Platelets,0.9959183673469386,"GP1BB, PF4, NRGN, PPBP, TUBB1"
B_malignant,0.9799999999999999,"FCRL1, EBF1, PAX5, LINC00926, MS4A1"
pDC,1.0,"CUX2, TCF4, ENSG00000225885, LILRA4, UGCG"
CD83_CD14_mono,0.9853658536585366,"FCRL1, PAX5, RALGPS2, MS4A1, BANK1"
NK_56hi,0.9807692307692308,"KLRD1, GNLY, CTSW, NCAM1, IL2RB"
ILC2,0.8564102564102564,"SSBP2, ATP8B4, HTR1F, MSI2, MSRB3"
Plasma_cell_IgA,1.0,"TXNDC5, SEC11C, MZB1, PPIB, SSR4"
DC1,1.0,"CLEC9A, WDFY4, HLA-DPA1, C1orf54, CLNK"
NK_prolif,1.0,"RRM2, PCLAF, TYMS, STMN1, TUBB"
