call_number,strategy,n_hvg,n_pcs,n_neighbors,resolution,yield_score_target,balanced_score_gmean,weighted_mean_cas,simple_mean_cas,mean_mcs,silhouette_score,n_individual_labels,n_consensus_labels
1,Exploit,3828,27,41,1.2743,0.2371,0.2371,75.9405,69.1711,96.7303,0.2371,49,16
2,Exploit,2231,19,28,0.8007,0.3098,0.3098,74.6493,66.1453,96.8585,0.3098,49,15
3,Exploit,851,69,12,1.4996,0.1160,0.1160,75.6804,68.9942,96.6608,0.1160,49,17
4,Exploit,4475,10,50,1.3115,0.3354,0.3354,70.6363,67.0460,97.4878,0.3354,49,14
5,Exploit,2986,11,11,1.1446,0.3024,0.3024,73.5810,69.6318,96.6072,0.3024,49,16
6,Exploit,2021,14,49,0.6190,0.3651,0.3651,74.3985,67.4825,97.5710,0.3651,49,14
7,Exploit,613,66,25,1.9698,0.0936,0.0936,75.7176,69.4604,97.7108,0.0936,49,18
8,Exploit,2326,87,37,1.0109,0.1482,0.1482,74.9837,71.5094,97.1144,0.1482,49,16
9,Exploit,260,95,33,0.8937,0.0278,0.0278,68.6112,61.3391,96.1960,0.0278,49,12
10,Exploit,273,31,20,1.4299,0.0926,0.0926,71.5281,68.8743,95.0720,0.0926,49,13
11,Exploit,2022,10,48,0.4697,0.4302,0.4302,70.4134,67.4113,97.6782,0.4302,49,12
12,Exploit,2475,10,50,0.2000,0.4720,0.4720,68.3047,64.5402,97.5870,0.4720,49,11
13,Exploit,4755,10,50,0.2000,0.4519,0.4519,68.0910,67.2089,97.4936,0.4519,49,10
14,Exploit,856,10,10,0.2000,0.4393,0.4393,72.5406,71.4645,96.8300,0.4393,49,11
15,Exploit,4755,52,50,0.2000,0.2553,0.2553,1.6349,0.9652,98.1108,0.2553,49,12
16,Exploit,4755,100,10,2.0000,0.0991,0.0991,78.2815,71.5540,97.4011,0.0991,49,21
17,Exploit,3042,10,10,0.2000,0.4150,0.4150,69.2894,66.4300,97.6191,0.4150,49,12
18,Exploit,200,10,50,0.2000,0.0556,0.0556,59.5913,63.0967,97.1254,0.0556,49,7
19,Exploit,1612,10,10,0.2000,0.4521,0.4521,68.8992,67.3305,97.6374,0.4521,49,10
20,Exploit,2934,10,50,0.2000,0.4599,0.4599,67.6173,61.0267,97.7222,0.4599,49,10
21,Exploit,4755,10,24,0.2000,0.4486,0.4486,68.1375,65.5410,97.9225,0.4486,49,11
22,Exploit,2375,10,40,0.2000,0.4673,0.4673,68.3326,64.5216,97.5474,0.4673,49,11
23,Exploit,4094,10,41,0.2000,0.4601,0.4601,68.1189,67.0913,97.4779,0.4601,49,10
24,Exploit,4314,10,10,0.2000,0.4572,0.4572,69.0757,66.4481,97.6420,0.4572,49,11
25,Exploit,4755,24,10,0.2000,0.3176,0.3176,72.1876,67.8817,97.5778,0.3176,49,13
26,Exploit,4026,10,24,0.2000,0.4559,0.4559,68.2675,65.2680,97.8222,0.4559,49,11
27,Exploit,4755,100,50,0.2000,0.2017,0.2017,1.6349,1.0521,97.4920,0.2017,49,11
28,Exploit,1043,10,10,2.0000,0.2007,0.2007,76.0706,70.0737,95.0873,0.2007,49,16
29,Exploit,1976,10,37,0.2000,0.4663,0.4663,68.1189,67.1795,97.4337,0.4663,49,10
30,Exploit,3300,100,10,0.2000,0.1817,0.1817,1.6256,0.7574,98.3404,0.1817,49,15
31,Exploit,4755,10,10,2.0000,0.2132,0.2132,74.7422,71.0540,97.0625,0.2132,49,18
32,Exploit,2994,55,10,0.2000,0.2305,0.2305,71.6489,72.1358,97.1304,0.2305,49,13
33,Exploit,1204,22,10,0.2000,0.3507,0.3507,74.2778,70.3509,96.4430,0.3507,49,12
34,Exploit,3733,10,50,0.2000,0.4539,0.4539,68.1096,67.3965,97.5953,0.4539,49,10
35,Exploit,3519,100,50,2.0000,0.1191,0.1191,74.8165,68.8226,97.3230,0.1191,49,18
36,Exploit,1647,100,10,2.0000,0.0988,0.0988,77.2782,71.5946,97.0060,0.0988,49,21
37,Exploit,4755,75,10,0.2000,0.2024,0.2024,72.4292,71.9699,98.2566,0.2024,49,14
38,Exploit,4755,66,50,2.0000,0.1459,0.1459,75.9127,70.7624,97.0377,0.1459,49,19
39,Exploit,3595,73,49,0.2619,0.2280,0.2280,73.3581,69.6140,97.2310,0.2280,49,13
40,Exploit,3176,62,10,1.9983,0.1382,0.1382,76.9717,68.9405,96.6575,0.1382,49,19
41,Exploit,4619,16,49,0.2009,0.3673,0.3673,72.6057,70.0206,97.8935,0.3673,49,13
42,Exploit,2124,49,50,0.2000,0.2681,0.2681,1.7185,1.3296,97.0136,0.2681,49,12
43,Exploit,200,52,10,0.2000,-0.1514,-0.1514,55.2996,59.2326,95.8925,-0.1514,49,8
44,Exploit,3146,36,50,0.2000,0.2928,0.2928,1.6442,0.9708,98.1327,0.2928,49,12
45,Exploit,2265,47,50,2.0000,0.1718,0.1718,77.1575,70.0136,97.0074,0.1718,49,20
46,Exploit,1373,10,22,0.2000,0.4464,0.4464,69.2429,68.2024,97.5630,0.4464,49,10
