Cluster_ID,Assigned_Cell_Type,Marker_Capture_Score (%),Captured_Genes_Count,Total_Reference_Genes,Captured_Genes_List
1,Nuocytes,42.857142857142854,3,7,"BCL11B, IL7R, RORA"
6,Gamma delta T cells,42.10526315789473,16,38,"CD247, CD7, CLIC3, CST7, CTSW, FGFBP2, GNLY, GZMA, GZMB, HOPX, IFITM1, KLRD1, NKG7, PRF1, SPON2, TRDC"
0,Myeloid-derived suppressor cells,33.33333333333333,2,6,"S100A8, S100A9"
10,Myeloid-derived suppressor cells,33.33333333333333,2,6,"S100A8, S100A9"
13,Plasmacytoid dendritic cells,32.25806451612903,10,31,"BCL11A, DERL3, GZMB, IRF7, IRF8, ITM2C, JCHAIN, MZB1, SERPINF1, TCF4"
4,B cells memory,30.434782608695656,7,23,"ADAM28, CD37, CD79A, CD79B, GNG7, MS4A1, RALGPS2"
3,B cells memory,30.434782608695656,7,23,"CD37, CD79A, CD79B, GNG7, IGHM, MS4A1, RALGPS2"
7,Nuocytes,28.57142857142857,2,7,"IL7R, RORA"
5,Eosinophils,25.0,1,4,CCL5
12,Eosinophils,25.0,1,4,CCL5
9,T cytotoxic cells,16.666666666666664,1,6,CD8A
8,Myeloid-derived suppressor cells,16.666666666666664,1,6,FCGR3A
11,Dendritic cells,16.071428571428573,9,56,"HLA-DMA, HLA-DMB, HLA-DPA1, HLA-DPB1, HLA-DQA1, HLA-DQB1, HLA-DRA, HLA-DRB1, HLA-DRB5"
2,Nuocytes,14.285714285714285,1,7,BCL11B
14,T cells,1.7543859649122806,1,57,CYTL1
