Consensus_Cell_Type,Total_Cells_in_Cluster,Matching_Individual_Predictions,Cluster_Annotation_Score_CAS (%)
CD4.Naive,3051,2034,66.66666666666667
CD14_mono,2842,2704,95.14426460239268
B_naive,972,803,82.61316872427983
B_switched_memory,613,229,37.35725938009788
gdT,610,204,33.442622950819676
NK_16hi,605,470,77.68595041322314
MAIT,599,440,73.45575959933223
CD16_mono,451,326,72.28381374722838
DC3,429,221,51.515151515151516
CD8.Naive,347,338,97.40634005763688
Platelets,137,135,98.54014598540147
pDC,83,83,100.0
HSC_CD38pos,26,11,42.30769230769231
