Cell_Type,MCS,Top_5_Markers
CD4.Naive,0.954113405440839,"INPP4B, BCL11B, CAMK4, LDHB, SERINC5"
CD14_mono,0.9990147783251231,"LYZ, S100A9, S100A8, VCAN, FOS"
B_naive,0.9923868312757202,"AFF3, IGHM, FCRL1, IGHD, BACH2"
B_switched_memory,0.9765089722675366,"OSBPL10, BANK1, BLK, RALGPS2, MS4A1"
gdT,0.8934426229508198,"CCL5, SAMD3, KLRK1, NKG7, PRKCH"
NK_16hi,0.984793388429752,"GNLY, NKG7, KLRF1, PRF1, KLRD1"
MAIT,0.9652754590984977,"KLRB1, SLC4A10, PHACTR2, GZMK, NKG7"
CD16_mono,0.9889135254988913,"LST1, LYN, TCF7L2, AIF1, COTL1"
DC3,0.9342657342657343,"CST3, CPVL, CSF2RA, SLC8A1, CCDC88A"
CD8.Naive,0.9769452449567723,"CD8B, NELL2, LEF1, THEMIS, PDE3B"
Platelets,1.0,"GP1BB, PF4, PPBP, CAVIN2, NRGN"
pDC,1.0,"CUX2, TCF4, ENSG00000225885, LILRA4, UGCG"
HSC_CD38pos,0.9923076923076923,"NKAIN2, RNF220, MSRB3, CDK6, PRSS57"
